# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	1010.17	0	25.0206	0	0	0	0
0.65072	1	2521.43	5.00076	207.306	0	0.00197938	0	0
1.30144	2	2769.73	3.00027	1088.25	0	0.00108207	0	0
1.95216	3	2195.64	5.00076	2200.37	0	0.00227241	0	0
2.60288	4	1549.96	3.00027	2707.08	0	0.00193197	0	0
3.2536	5	1046.07	0	2962.33	0	0	0	0
3.90432	6	803.63	2.00012	3145.57	0	0.00248268	0	0
4.55504	7	624.956	1.00003	3187.62	0	0.0015976	0	0
5.20576	8	473.873	2.00012	3149.12	0	0.00420306	0	0
5.85648	9	412.242	1.00003	3155.26	0	0.00241996	0	0
6.5072	10	309.932	0	3195.96	0	0	0	0
7.15792	11	318.166	0	3174.97	0	0	0	0
7.80864	12	258.037	0	3130.58	0	0	0	0
8.45936	13	215.436	0	3114.07	0	0	0	0
9.11008	14	194.17	0	3194.22	0	0	0	0
9.7608	15	178.996	1.00003	3083.57	0	0.00555585	0	0
10.4115	16	203.256	0	3094.91	0	0	0	0
11.0622	17	175.963	0	3156.75	0	0	0	0
11.713	18	171.93	0	3155.22	0	0	0	0
12.3637	19	206.319	0	3138.89	0	0	0	0
13.0144	20	155.747	0	3199.75	0	0	0	0
13.6651	21	164.867	0	3116.86	0	0	0	0
14.3158	22	155.747	0	3127.37	0	0	0	0
14.9666	23	184.041	0	3276.89	0	0	0	0
15.6173	24	146.681	0	3156.68	0	0	0	0
16.268	25	150.7	0	3196.38	0	0	0	0
16.9187	26	150.7	1.00003	3069.27	0	0.00659215	0	0
17.5694	27	144.645	1.00003	3126.88	0	0.0068662	0	0
18.2202	28	164.826	0	3095.42	0	0	0	0
18.8709	29	157.786	0	3139.95	0	0	0	0
19.5216	30	173.941	1.00003	3136.48	0	0.00571638	0	0
20.1723	31	174.941	0	3011.62	0	0	0	0
20.823	32	158.777	3.00027	3111.23	0	0.0185458	0	0
21.4738	33	186.052	0	3148.39	0	0	0	0
22.1245	34	174.963	0	3013.83	0	0	0	0
22.7752	35	200.243	0	3110.23	0	0	0	0
23.4259	36	183.075	0	3139.01	0	0	0	0
24.0766	37	181.007	0	3066.7	0	0	0	0
24.7274	38	184.03	0	3144.96	0	0	0	0
25.3781	39	200.255	0	3017.57	0	0	0	0
26.0288	40	230.658	0	2889.15	2.00012	0	115.322	115.322
26.6795	41	284.508	0	2446.33	5.00076	0	56.8928	56.8928
27.3302	42	554.408	2.00012	1959.33	20.0122	0.0035947	27.8034	27.7035
27.981	43	1450.57	3.00027	1755.6	25.0221	0.00206407	58.0914	57.9715
28.6317	44	3388.57	9.00247	1700.89	99.349	0.00264968	34.1983	34.1077
29.2824	45	7011.33	27.0223	1369.52	453.492	0.00383929	15.5204	15.4608
29.9331	46	11346.6	55.0959	946.137	1705.69	0.00483223	6.68454	6.65224
30.6024	47	13629.9	70.1543	469.853	4383.75	0.00512072	3.12519	3.10919
31.2739	48	13810	69.1542	211.383	7429.54	0.00498259	1.86811	1.8588
31.9453	49	11183.5	72.1631	84.2367	9260.99	0.00641128	1.21538	1.20759
32.6168	50	8527.05	48.0705	54.0892	8611.94	0.0056058	0.995725	0.990143
33.2883	51	6377.64	35.0374	21.0135	7226.9	0.00546378	0.887334	0.882486
33.9597	52	5278.19	29.0257	16.0078	6116.89	0.0054691	0.867634	0.862889
34.6312	53	5293.9	39.0465	15.0069	5528.68	0.00732174	0.964597	0.957534
35.3026	54	5129.28	27.0223	17.0088	5440.04	0.00524063	0.947843	0.942875
35.9741	55	5368.85	31.0313	16.0078	5402.48	0.00574666	0.99952	0.993776
36.6455	56	5332.95	48.0705	14.006	5239.97	0.00893333	1.02692	1.01775
37.317	57	5741.34	49.0794	13.0052	5176.68	0.00847598	1.11856	1.10908
37.9884	58	5494.13	41.0514	13.0052	5028.49	0.00741645	1.10076	1.0926
38.6599	59	5368.65	41.0564	7.0015	4792.54	0.0075894	1.12878	1.12021
39.3313	60	5434.96	45.0619	6.0011	4758.69	0.00822294	1.15158	1.14211
40.0028	61	5202.15	70.15	8.00195	4685.94	0.0133054	1.12513	1.11016
40.6742	62	5072.29	130.518	18.0099	4618.75	0.0250862	1.12645	1.09819
41.3457	63	4951.27	216.436	10.0031	4475.66	0.0418825	1.15463	1.10627
42.0171	64	4741.46	342.599	16.0078	4337.52	0.0673869	1.17211	1.09313
42.6886	65	4453.11	498.569	10.0031	4150.02	0.100687	1.19317	1.07303
43.36	66	4199.01	701.169	14.006	3923.82	0.14309	1.24883	1.07013
44.0315	67	3892.91	929.071	5.00076	3648.72	0.192674	1.32156	1.06693
44.7029	68	3631.96	1269.62	8.00195	3527.46	0.259022	1.38955	1.02962
45.3744	69	3317.75	1512.32	14.006	3148.63	0.313105	1.53402	1.05371
46.0458	70	3017.01	1709.57	6.0011	2914.7	0.361692	1.62164	1.0351
46.7173	71	2846.53	1930.38	11.0037	2595.92	0.404106	1.84016	1.09654
47.3887	72	2758.94	2108.34	8.00195	2407.46	0.433166	2.02175	1.146
48.0602	73	2611.26	2156.63	15.0069	2316.26	0.452324	2.05845	1.12736
48.7316	74	2506.94	2168.5	9.00247	2249.11	0.463807	2.07879	1.11463
49.4031	75	2576.39	2079.14	5.00076	2214.48	0.446595	2.10231	1.16343
