# depth_nm	scan	16OCs2+	18OCs2+	SiCs+	WCs+	f18 = 18OCs2+/(16OCs2++18OCs2+)	O_over_W = (16OCs2++18OCs2+)/WCs+	16OCs2+_over_WCs+
0	0	51.1174	43.0974	335.801	39.1079	0.457438	2.4091	1.30709
0.771224	1	1418.3	5.00038	1881.14	0	0.00351323	0	0
1.54245	2	1527.18	9.00124	1641.69	0	0.0058595	0	0
2.31367	3	1046.54	1.00002	1533.47	0	0.000954636	0	0
3.0849	4	669.799	4.00024	1485.15	0	0.00593685	0	0
3.85612	5	460.217	0	1441.33	0	0	0	0
4.62734	6	379.197	0	1434.97	0	0	0	0
5.39857	7	300.378	1.00002	1377.65	0	0.00331814	0	0
6.16979	8	251.966	2.00006	1469.51	0	0.0078753	0	0
6.94102	9	210.676	1.00002	1449.69	0	0.00472428	0	0
7.71224	10	196.589	0	1483.11	0	0	0	0
8.48346	11	174.464	2.00006	1482.06	0	0.0113341	0	0
9.25469	12	148.335	0	1437.06	0	0	0	0
10.0259	13	172.453	0	1497.76	0	0	0	0
10.7971	14	154.363	0	1507.23	0	0	0	0
11.5684	15	149.34	0	1462.19	0	0	0	0
12.3396	16	131.263	0	1549.14	0	0	0	0
13.1108	17	131.263	1.00002	1473.78	0	0.00756083	0	0
13.882	18	146.326	0	1497.85	0	0	0	0
14.6533	19	146.326	0	1534.42	0	0	0	0
15.4245	20	140.3	0	1515.51	0	0	0	0
16.1957	21	155.368	1.00002	1545.17	0	0.00639528	0	0
16.9669	22	124.235	0	1465.32	0	0	0	0
17.7382	23	143.313	0	1518.8	0	0	0	0
18.5094	24	157.382	0	1470.6	0	0	0	0
19.2806	25	174.464	0	1478.92	0	0	0	0
20.0518	26	154.368	0	1506.23	0	0	0	0
20.823	27	164.412	1.00002	1477.97	0	0.00604561	0	0
21.5943	28	158.382	0	1412.03	0	0	0	0
22.3655	29	148.335	0	1447.51	0	0	0	0
23.1367	30	146.326	1.00002	1441.55	0	0.00678776	0	0
23.9079	31	144.317	0	1473.87	0	0	0	0
24.6792	32	131.263	0	1522.99	1.00002	0	131.261	131.261
25.4504	33	197.595	1.00002	1873.2	0	0.00503546	0	0
26.2216	34	500.808	2.00006	2413.52	0	0.00397779	0	0
26.9928	35	1771.12	3.00014	2647.93	4.00024	0.00169106	443.503	442.753
27.7641	36	5847.11	21.0067	2630.57	19.0055	0.00357981	308.759	307.653
28.5353	37	8757.68	38.0221	2087.67	37.0218	0.0043228	237.582	236.555
29.3065	38	15886.1	81.1003	1295.75	74.0837	0.00507917	215.529	214.435
30.0818	39	18999.8	110.188	676.277	159.387	0.00576602	119.897	119.205
30.8935	40	14763.8	99.1529	399.844	287.255	0.00667115	51.7412	51.396
31.7051	41	9612.15	57.0496	196.648	458.203	0.00590014	21.1025	20.9779
