# depth_nm	scan	16OCs2+	18OCs2+	SiCs+	WCs+	f18 = 18OCs2+/(16OCs2++18OCs2+)	O_over_W = (16OCs2++18OCs2+)/WCs+	16OCs2+_over_WCs+
0	0	21.0227	14.0142	287.874	28.0369	0.399985	1.24967	0.749821
0.581044	1	1031.13	4.00024	1586.1	0	0.0038645	0	0
1.16209	2	1578.51	1.00002	1754.45	0	0.000633117	0	0
1.74313	3	1336.91	6.00055	1558.53	0	0.00446833	0	0
2.32418	4	1023.83	2.00006	1491.53	0	0.0019497	0	0
2.90522	5	717.849	2.00006	1462.23	0	0.00277844	0	0
3.48627	6	528.235	3.00014	1399.7	0	0.00564748	0	0
4.06731	7	370.082	3.00014	1423.52	0	0.00804149	0	0
4.64835	8	365.037	1.00002	1524.99	0	0.00273201	0	0
5.2294	9	336.724	1.00002	1517.75	0	0.00296104	0	0
5.81044	10	247.936	1.00002	1442.33	0	0.00401716	0	0
6.39149	11	228.797	1.00002	1405.77	1.00002	0.00435173	229.793	228.793
6.97253	12	183.513	2.00006	1474.78	0	0.0107812	0	0
7.55358	13	202.625	2.00006	1403.68	0	0.00977426	0	0
8.13462	14	158.382	0	1418.43	0	0	0	0
8.71567	15	157.377	0	1505.23	0	0	0	0
9.29671	16	139.296	0	1488.43	0	0	0	0
9.87775	17	163.407	1.00002	1452.78	0	0.00608257	0	0
10.4588	18	135.279	0	1419.38	0	0	0	0
11.0398	19	135.279	0	1440.24	1.00002	0	135.277	135.277
11.6209	20	127.251	0	1495.67	0	0	0	0
12.2019	21	131.263	2.00006	1487.34	0	0.0150084	0	0
12.783	22	110.185	0	1519.84	0	0	0	0
13.364	23	126.243	0	1538.56	0	0	0	0
13.9451	24	122.228	4.00024	1486.39	0	0.0316906	0	0
14.5261	25	115.202	0	1494.67	0	0	0	0
15.1072	26	125.239	0	1530.23	0	0	0	0
15.6882	27	141.304	1.00002	1495.85	0	0.0070273	0	0
16.2692	28	149.34	0	1474.83	0	0	0	0
16.8503	29	144.317	0	1511.42	1.00002	0	144.315	144.315
17.4313	30	122.228	0	1508.28	0	0	0	0
18.0124	31	138.291	0	1492.67	0	0	0	0
18.5934	32	119.217	1.00002	1547.04	0	0.00831844	0	0
19.1745	33	138.291	0	1555.53	0	0	0	0
19.7555	34	134.275	0	1487.39	0	0	0	0
20.3366	35	141.304	0	1455.87	0	0	0	0
20.9176	36	126.243	1.00002	1509.51	0	0.00785911	0	0
21.4986	37	119.22	1.00002	1479.06	0	0.00831819	0	0
22.0797	38	123.231	1.00002	1465.37	0	0.00804961	0	0
22.6607	39	129.255	0	1420.43	0	0	0	0
23.2418	40	146.326	0	1497.9	0	0	0	0
23.8228	41	134.275	0	1469.83	0	0	0	0
24.4039	42	138.291	1.00002	1577.47	0	0.0071793	0	0
24.9849	43	175.474	0	1753.34	0	0	0	0
25.566	44	278.177	0	2201.59	1.00005	0	278.165	278.165
26.147	45	628.999	2.00006	2772.65	5.00038	0.00316968	126.19	125.79
26.728	46	1447.55	3.00023	3514.98	10.0015	0.00206834	145.033	144.733
27.3091	47	2906.7	16.0049	3694.31	29.0128	0.00547604	100.738	100.187
27.8901	48	5477.21	29.0128	3580.74	73.0814	0.0052691	75.3437	74.9467
28.4712	49	9149.82	56.0479	2792.11	93.1322	0.00608828	98.8473	98.2455
29.0522	50	12819.3	77.093	1903.65	111.188	0.00597787	115.987	115.294
29.6333	51	16019.7	114.202	1005.48	142.309	0.00707839	113.373	112.57
30.3114	52	16836.6	124.239	569.454	147.331	0.00732504	115.121	114.278
31.1556	53	16362.4	119.217	315.727	140.3	0.00723332	117.474	116.624
31.9998	54	14455.2	125.247	227.909	184.519	0.00859006	79.0187	78.3399
32.844	55	12256.1	91.1272	120.272	209.669	0.00738037	58.8891	58.4545
33.6883	56	10342.4	76.0883	65.0921	237.861	0.00730319	43.8007	43.4808
34.5325	57	8767.01	81.1003	23.013	284.229	0.00916584	31.1302	30.8448
35.3767	58	7975.9	67.0686	24.0095	282.212	0.00833879	28.4998	28.2621
36.2209	59	7433.06	76.0883	14.0047	277.169	0.0101327	27.0923	26.8178
37.0651	60	7090.55	68.0727	9.00151	276.16	0.0095092	25.922	25.6755
37.9094	61	6840.84	63.0606	6.00055	250.974	0.00913407	27.5084	27.2572
38.7536	62	6690.97	71.077	3.00014	301.4	0.0105112	22.4354	22.1996
39.5978	63	6884.57	125.243	6.00076	321.573	0.0178668	21.7985	21.4091
40.442	64	6601.94	190.553	4.00037	338.745	0.0280535	20.0519	19.4894
41.2862	65	6457.03	339.755	6.00055	296.336	0.0499876	22.9361	21.7896
42.1305	66	6304.4	565.875	3.00023	282.212	0.0823657	24.3444	22.3393
42.9747	67	6054.67	763.905	1.00005	274.144	0.112033	24.8723	22.0858
43.8189	68	6077.13	878.812	3.00014	283.22	0.12634	24.5602	21.4572
44.6631	69	5723.36	1062.09	1.00005	323.612	0.156525	20.9678	17.6859
45.5073	70	5999.34	1087.06	1.00002	293.309	0.153401	24.1602	20.454
46.3515	71	5686.72	1135.59	1.00002	307.447	0.166452	22.1902	18.4966
47.1958	72	5823.99	1195.62	3.00014	313.495	0.170326	22.3915	18.5776
48.04	73	5789.34	1222.68	3.00014	306.447	0.174369	22.8817	18.8918
48.8842	74	5531.84	1166.61	3.00014	340.766	0.174161	19.6571	16.2336
49.7284	75	5798.86	1128.2	1.00002	309.457	0.162869	22.3846	18.7388
50.5726	76	5735.47	1216.45	4.00024	324.612	0.17498	21.4161	17.6687
51.4169	77	5726.65	1193.51	3.00023	329.663	0.172468	20.9916	17.3712
52.2611	78	5689.1	1183.18	3.00014	304.419	0.172167	22.5751	18.6884
53.1053	79	5791.73	1185.21	4.00024	370.082	0.169876	18.8524	15.6498
53.9495	80	5921.71	1264.23	1.00002	315.514	0.175931	22.7753	18.7685
54.7937	81	5848.7	1199.85	1.00002	305.419	0.170226	23.0783	19.1497
55.638	82	5943.92	1021.83	3.00014	311.495	0.146693	22.3623	19.0819
56.4822	83	5959.91	978.495	2.00006	330.663	0.141026	20.9833	18.0241
57.3264	84	6277.94	767.979	4.00024	332.693	0.108996	21.1784	18.87
58.1706	85	6486.86	576.045	2.00006	306.438	0.0815592	23.0484	21.1686
59.0148	86	6555.01	371.116	2.00006	298.363	0.053582	23.2137	21.9699
59.8591	87	6863.76	248.943	3.00023	300.373	0.0349998	23.6796	22.8508
60.7033	88	6940.73	174.464	1.00005	315.514	0.0245199	22.5511	21.9981
61.5475	89	5942.71	121.228	0	274.144	0.0199916	22.1196	21.6774
62.3917	90	6082.35	76.0883	3.00023	287.255	0.0123551	21.4389	21.174
63.2359	91	5910.55	85.1104	2.00012	295.327	0.0141953	20.3018	20.0136
64.0802	92	5856.07	74.0837	4.00024	287.255	0.0124927	20.6442	20.3863
64.9244	93	5834.54	69.0749	3.0002	301.382	0.0117004	19.5885	19.3593
65.7686	94	6014.35	67.0686	4.00031	244.913	0.0110284	24.8309	24.5571
66.6128	95	5935.71	54.0445	2.00006	289.282	0.00902283	20.7056	20.5188
67.457	96	6107.66	72.0792	2.00006	277.186	0.0116638	22.2946	22.0345
68.3013	97	5880	54.0445	0	285.247	0.00910754	20.8032	20.6138
69.1455	98	5953.11	65.065	3.00023	306.428	0.0108114	19.6397	19.4274
69.9897	99	6161.2	65.0665	7.00075	300.373	0.0104503	20.7285	20.5119
70.8339	100	6522.15	85.113	12.0022	297.363	0.0128817	22.2195	21.9333
71.6781	101	6569.46	69.0749	52.0443	334.704	0.0104051	19.8341	19.6277
72.5224	102	6060.45	92.1305	215.708	397.4	0.0149743	15.4821	15.2502
73.3666	103	5247.11	57.0514	557.788	419.676	0.010756	12.6387	12.5028
74.2108	104	5012.9	55.0462	1190.47	385.256	0.0108616	13.1547	13.0119
75.055	105	4423.74	36.0198	2322.77	273.144	0.00807663	16.3275	16.1956
75.8992	106	3179.47	22.0074	3979.26	193.571	0.00687413	16.5391	16.4254
76.7435	107	1946.76	22.0074	5752.16	187.536	0.0111783	10.4981	10.3807
77.5877	108	1200.77	7.00075	6764.4	138.291	0.00579642	8.73352	8.6829
78.4319	109	761.81	4.00024	7220.86	97.1439	0.00522354	7.88326	7.84208
79.2761	110	483.55	6.00055	7344.99	80.0978	0.0122573	6.11191	6.037
80.1203	111	379.185	2.00006	7501.82	63.0606	0.00524695	6.04475	6.01303
80.9646	112	311.495	5.00038	7307.96	48.0352	0.0157992	6.58882	6.48472
81.8088	113	250.959	1.00002	6951.5	49.0367	0.00396897	5.13817	5.11777
82.653	114	213.702	2.00006	6729.43	28.012	0.00927234	7.70035	7.62895
83.4972	115	208.663	2.00006	6672.53	32.0156	0.00949412	6.58	6.51753
84.3414	116	182.507	3.00014	6438.8	39.0232	0.0161726	4.75377	4.67689
85.1857	117	162.402	4.00024	6104.86	21.0067	0.0240396	7.92137	7.73094
86.0299	118	159.387	0	5902.96	27.0111	0	5.90079	5.90079
86.8741	119	136.287	0	5694.59	18.0049	0	7.56943	7.56943
87.7183	120	100.153	2.00012	5351.92	16.0039	0.0195797	6.383	6.25803
88.5625	121	85.1104	0	5132.68	23.0081	0	3.69915	3.69915
89.4068	122	99.1499	2.00006	4995.75	13.0026	0.0197732	7.77922	7.6254
90.251	123	74.0837	1.00002	4816.01	13.0026	0.0133187	5.77452	5.69761
91.0952	124	69.0727	1.00002	4672.82	15.0034	0.0142711	4.67045	4.6038
91.9394	125	81.1003	1.00002	4610.59	8.00098	0.0121804	10.2613	10.1363
92.7836	126	61.0568	0	4347.82	18.0049	0	3.39112	3.39112
93.6279	127	71.077	0	4284.93	15.0034	0	4.73738	4.73738
94.4721	128	63.0626	3.00014	4216.18	7.00075	0.0454135	9.43652	9.00798
95.3163	129	53.0429	1.00002	4086.35	6.00055	0.0185041	9.00633	8.83968
96.1605	130	65.0646	1.00002	3931.1	10.0015	0.0151369	6.60545	6.50546
97.0047	131	52.0413	2.00006	3825.9	5.00038	0.0370098	10.8074	10.4075
97.849	132	55.0462	0	3769.37	7.00075	0	7.8629	7.8629
98.6932	133	63.0606	1.00002	3733.24	7.00075	0.0156104	9.15054	9.0077
