# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	475.961	1.00003	19.0133	10.0043	0.00209667	47.6758	47.5758
0.642044	1	2386.89	3.00027	183.03	2.00037	0.0012554	1194.73	1193.23
1.28409	2	3005.39	7.0015	925.272	5.00198	0.00232423	602.24	600.84
1.92613	3	2289.51	5.00076	1990.16	1.00009	0.00217945	2294.3	2289.3
2.56818	4	1790.74	3.00027	2534.12	2.00073	0.00167264	896.541	895.041
3.21022	5	1304.08	1.00003	2841.35	5.00076	0.000766261	260.976	260.776
3.85227	6	1021.88	3.00027	2925.75	3.00027	0.00292744	341.596	340.596
4.49431	7	936.719	2.00012	2870.22	4.00049	0.00213069	234.651	234.151
5.13635	8	693.731	4.00049	2965.91	6.0011	0.00573357	116.267	115.601
5.7784	9	608.488	2.00012	2983.55	4.00073	0.00327627	152.594	152.094
6.42044	10	517.459	1.00003	2962.74	0	0.00192885	0	0
7.06249	11	474.991	2.00012	3020.44	2.00012	0.00419321	238.481	237.481
7.70453	12	456.437	0	2953.29	5.00076	0	91.2734	91.2734
8.34658	13	371.219	0	3029.5	3.00027	0	123.728	123.728
8.98862	14	362.014	1.00003	2926.64	2.00012	0.0027548	181.496	180.996
9.63066	15	347.706	4.00049	2938.95	2.00012	0.0113745	175.842	173.842
10.2727	16	357.969	1.00003	3005	9.00247	0.00278584	39.8745	39.7634
10.9148	17	334.431	2.00012	2961.52	8.00195	0.00594512	42.0436	41.7936
11.5568	18	349.749	0	2974.74	5.00076	0	69.9391	69.9391
12.1988	19	326.367	0	3071.33	3.00027	0	108.779	108.779
12.8409	20	341.598	0	2938.36	2.00012	0	170.789	170.789
13.4829	21	303.855	0	3033.93	1.00003	0	303.846	303.846
14.125	22	298.762	0	2957.91	0	0	0	0
14.767	23	276.368	2.00012	2980.74	4.00049	0.00718517	69.5835	69.0836
15.4091	24	289.668	1.00003	3023.85	2.00012	0.00344045	145.325	144.825
16.0511	25	311.97	0	3015.02	3.00027	0	103.981	103.981
16.6932	26	343.683	3.00027	2897.67	3.00027	0.00865421	115.551	114.551
17.3352	27	333.389	1.00003	2983.35	3.00027	0.00299062	111.453	111.12
17.9772	28	315.125	0	3036.31	3.00027	0	105.032	105.032
18.6193	29	295.724	2.00012	3000.31	1.00003	0.00671803	297.715	295.715
19.2613	30	309.046	0	2990.56	4.00049	0	77.2521	77.2521
19.9034	31	322.206	1.00003	2961.52	1.00003	0.0030941	323.196	322.196
20.5454	32	289.597	1.00003	3054.43	2.00024	0.0034413	145.281	144.781
21.1875	33	302.837	1.00003	3102.76	1.00003	0.00329134	303.827	302.827
21.8295	34	316.048	3.00027	3010.81	2.00012	0.00940383	159.514	158.014
22.4715	35	325.307	0	3036.11	5.00076	0	65.0514	65.0514
23.1136	36	321.146	0	3002.38	2.00012	0	160.563	160.563
23.7556	37	303.837	0	3134.73	4.00049	0	75.9499	75.9499
24.3977	38	328.348	2.00012	3055.2	5.00076	0.0060546	66.0595	65.6595
25.0397	39	297.743	0	2933.75	5.00076	0	59.5395	59.5395
25.6818	40	339.535	1.00003	2844.76	7.0015	0.00293664	48.6375	48.4946
26.3238	41	315.048	1.00003	2557.85	7.0015	0.00316417	45.14	44.9972
26.9659	42	405.014	2.00012	1889.64	13.0052	0.00491414	31.2963	31.1425
27.6079	43	722.843	3.00027	1346.9	17.0088	0.0041335	42.6745	42.4981
28.2499	44	1859.74	4.00049	1144.04	55.0925	0.00214649	33.8292	33.7566
28.892	45	4173.57	16.0078	1010.11	267.242	0.00382087	15.6771	15.6172
29.534	46	7503.23	37.0418	669.786	1073.44	0.00491253	7.02442	6.98991
30.2159	47	10265.5	39.0465	410.191	3324.37	0.00378927	3.09969	3.08794
31.0032	48	11178.7	47.0675	215.423	6643.19	0.00419281	1.68982	1.68273
31.7905	49	10366.2	51.0858	101.325	9350.55	0.00490394	1.11408	1.10862
32.5778	50	9095.95	52.0827	70.15	10464.4	0.00569332	0.874201	0.869224
33.3651	51	7640.87	46.0675	38.0441	9946.41	0.00599296	0.772836	0.768204
34.1524	52	6087.93	37.0441	25.0191	8588.47	0.00604804	0.713163	0.708849
34.9397	53	5149.07	23.0162	21.0135	7809.69	0.00445008	0.662265	0.659318
35.7269	54	4626.16	36.0396	22.0148	7037.09	0.00773016	0.662519	0.657398
