# depth_nm	scan	16OCs2+	18OCs2+	SiCs+	WCs+	f18 = 18OCs2+/(16OCs2++18OCs2+)	O_over_W = (16OCs2++18OCs2+)/WCs+	16OCs2+_over_WCs+
0	0	18.0179	13.0117	107.439	18.0144	0.419332	1.72249	1.0002
0.525576	1	909.591	2.00006	1280.06	6.00055	0.00219403	151.918	151.585
1.05115	2	1523.99	5.00053	1651.95	3.00032	0.00327049	509.608	507.941
1.57673	3	1296.33	1.00002	1395.46	4.00073	0.000770828	324.272	324.022
2.1023	4	1036.24	7.00075	1269.27	8.00147	0.00671055	130.382	129.507
2.62788	5	730.073	3.00014	1237.06	6.00092	0.00409255	122.16	121.66
3.15345	6	608.636	3.00014	1215.26	10.0021	0.0049051	61.1505	60.8506
3.67903	7	520.106	2.00006	1311.04	14.004	0.00383076	37.2826	37.1397
4.20461	8	428.793	2.00009	1272.47	11.0029	0.00464281	39.1528	38.971
4.73018	9	333.693	0	1276.59	15.0057	0	22.2377	22.2377
5.25576	10	329.673	1.00002	1246.41	10.0034	0.00302418	33.0562	32.9562
5.78133	11	323.593	0	1337.95	6.0011	0	53.9222	53.9222
6.30691	12	285.247	1.00002	1271.35	8.00171	0.00349354	35.7732	35.6482
6.83248	13	278.177	0	1245.41	6.00128	0	46.353	46.353
7.35806	14	223.762	0	1203.92	6.00165	0	37.2835	37.2835
7.88364	15	229.804	0	1316.16	3.00032	0	76.5931	76.5931
8.40921	16	202.629	0	1237.21	6.00128	0	33.7643	33.7643
8.93479	17	201.625	1.00002	1275.55	5.00099	0.0049353	40.517	40.317
9.46036	18	190.553	0	1288.02	3.00023	0	63.5128	63.5128
9.98594	19	190.553	1.00002	1317.2	3.00023	0.00522057	63.8461	63.5128
10.5115	20	169.437	0	1281.86	0	0	0	0
11.0371	21	167.427	0	1286.98	1.00002	0	167.424	167.424
11.5627	22	167.432	1.00002	1268.3	1.00005	0.0059372	168.424	167.424
12.0882	23	148.335	0	1336.91	2.00012	0	74.1631	74.1631
12.6138	24	181.502	0	1280.82	1.00005	0	181.493	181.493
13.1394	25	140.3	0	1333.86	2.00006	0	70.1478	70.1478
13.665	26	162.411	1.00002	1323.45	3.00014	0.00611962	54.468	54.1347
14.1905	27	150.344	0	1231.91	0	0	0	0
14.7161	28	128.255	0	1368.34	0	0	0	0
15.2417	29	135.279	0	1229.83	2.00012	0	67.6353	67.6353
15.7673	30	139.3	2.00006	1350.46	0	0.0141547	0	0
16.2928	31	138.296	0	1325.53	0	0	0	0
16.8184	32	133.271	0	1248.6	0	0	0	0
17.344	33	127.247	0	1272.39	0	0	0	0
17.8696	34	137.287	1.00002	1274.47	0	0.00723144	0	0
18.3952	35	130.259	0	1278.66	2.00006	0	65.1273	65.1273
18.9207	36	150.344	1.00002	1231.94	0	0.00660755	0	0
19.4463	37	122.231	0	1273.54	0	0	0	0
19.9719	38	160.392	1.00002	1272.39	0	0.00619619	0	0
20.4975	39	140.3	0	1277.62	0	0	0	0
21.023	40	129.255	0	1285.9	0	0	0	0
21.5486	41	133.271	0	1227.83	0	0	0	0
22.0742	42	143.313	0	1242.33	0	0	0	0
22.5998	43	130.259	1.00002	1307.75	0	0.00761867	0	0
23.1253	44	120.22	0	1268.27	0	0	0	0
23.6509	45	133.271	1.00002	1295.35	0	0.00744776	0	0
24.1765	46	138.291	2.00006	1304.71	0	0.0142565	0	0
24.7021	47	161.402	1.00002	1527.03	1.00002	0.00615766	162.399	161.399
25.2276	48	278.189	4.00024	1869.5	1.00002	0.0141757	282.185	278.185
25.7532	49	583.158	4.00024	2155.7	3.00014	0.00681288	195.711	194.377
26.2788	50	1143.77	2.00006	2689.75	10.0015	0.00174561	114.559	114.359
26.8044	51	2038.15	9.00179	3101.53	21.0067	0.00439722	97.4523	97.0238
27.3299	52	3428.35	11.0018	3250.49	37.022	0.00319881	92.9001	92.603
27.8555	53	5496.77	18.0049	3011.75	63.0606	0.00326486	87.4519	87.1663
28.3811	54	7897.3	35.0187	2353.76	83.1053	0.00441469	95.449	95.0276
28.9067	55	10529	41.0269	1718.65	99.1499	0.00388144	106.606	106.193
29.4322	56	12813.5	47.0352	1037.47	94.1351	0.00365732	136.618	136.119
29.9578	57	14114.4	53.044	659.676	119.217	0.00374409	118.837	118.393
30.778	58	13891	64.0637	398.51	106.172	0.00459072	131.438	130.835
31.6239	59	13614	59.0565	271.16	135.279	0.00431918	101.073	100.637
32.4698	60	12071.5	52.0413	166.432	171.448	0.00429258	70.7128	70.4093
33.3157	61	10607.6	52.0429	120.224	158.387	0.00488223	67.3014	66.9728
34.1616	62	9441.11	49.0367	66.0666	188.541	0.00516711	50.3346	50.0745
35.0074	63	8120.23	51.0397	36.0198	188.541	0.00624624	43.3394	43.0687
35.8533	64	7407.13	38.0221	24.0088	191.559	0.00510695	38.8661	38.6676
36.6992	65	6787.62	37.022	14.0033	239.876	0.00542476	28.4507	28.2964
37.5451	66	6421.03	31.0147	7.00075	221.749	0.00480696	29.0962	28.9563
38.391	67	6066.26	47.0337	8.00098	282.212	0.00769369	21.6621	21.4954
39.2369	68	5896.8	73.0814	3.00026	236.854	0.0122417	25.2049	24.8963
40.0828	69	5826.42	125.243	6.0007	249.951	0.0210433	23.8113	23.3103
40.9287	70	5447.13	197.595	6.00055	230.811	0.0350052	24.456	23.5999
41.7745	71	5591.64	281.203	1.00005	214.702	0.047882	27.3535	26.0437
42.6204	72	5464.57	398.423	3.00014	241.891	0.0679556	24.2382	22.5911
43.4663	73	5313.83	522.154	4.00024	232.825	0.0894714	25.066	22.8233
44.3122	74	5363.39	562.84	0	216.722	0.0949745	27.3449	24.7478
45.1581	75	5113.29	672.881	3.0002	235.854	0.116291	24.5328	21.6799
46.004	76	5133.83	663.676	1.00002	228.797	0.114476	25.3391	22.4384
46.8499	77	5135.68	717.849	2.00006	239.876	0.122635	24.4023	21.4097
47.6958	78	5111.78	724.983	2.00012	245.92	0.12421	23.7343	20.7863
48.5417	79	5222.37	694.325	1.00002	277.169	0.11735	21.3469	18.8418
49.3875	80	5023.11	757.693	1.00002	241.891	0.131071	23.8984	20.766
50.2334	81	5132.85	713.761	1.00002	245.92	0.122081	23.7744	20.872
51.0793	82	4984.91	716.904	2.00006	248.951	0.125733	22.9034	20.0237
51.9252	83	5104.94	675.965	1.00002	293.309	0.116931	19.7093	17.4047
52.7711	84	5151.74	706.585	2.00012	231.818	0.120612	25.2712	22.2232
53.617	85	5173.48	748.507	0	248.951	0.126394	23.7878	20.7811
54.4629	86	5088.58	683.155	0	252.982	0.118362	22.8148	20.1144
55.3088	87	5288.59	641.273	3.00014	234.84	0.108143	25.2507	22.52
56.1547	88	5286.71	572.033	2.00006	271.119	0.0976375	21.6095	19.4996
57.0005	89	5246.89	441.994	3.00014	225.776	0.0776944	25.197	23.2393
57.8464	90	5503.15	382.267	1.00005	271.127	0.0649516	21.7073	20.2973
58.6923	91	5544.9	275.16	0	242.905	0.0472779	23.9602	22.8274
59.5382	92	5534.15	156.373	1.00002	233.832	0.0274794	24.3359	23.6672
60.3841	93	5630	124.235	1.00002	236.854	0.0215902	24.2944	23.7699
61.23	94	5695.58	89.1211	2.00006	267.086	0.0154064	21.6586	21.3249
62.0759	95	5702.1	68.0769	2.00006	194.577	0.0117981	29.6551	29.3052
62.9218	96	5613.18	48.0352	1.00002	249.959	0.00848496	22.6486	22.4564
63.7676	97	5621.87	39.0241	0	253.99	0.00689363	22.2879	22.1343
64.6135	98	5800.41	31.0147	2.00006	252.974	0.00531854	23.0515	22.9289
65.4594	99	5645.18	35.0193	1.00002	291.3	0.00616515	19.4995	19.3793
66.3053	100	5633.94	21.0074	1.00002	260.029	0.00371487	21.7474	21.6666
67.1512	101	5714.36	14.0034	1.00002	243.905	0.00244457	23.486	23.4286
67.9971	102	5843.06	28.0129	1.00002	235.854	0.00477134	24.8929	24.7741
68.843	103	6017.01	21.0067	3.00014	263.093	0.00347908	22.9501	22.8702
69.6889	104	6113.64	19.0055	8.00098	245.92	0.00309907	24.9375	24.8602
70.5348	105	6630.61	28.012	15.0037	274.144	0.00420687	24.2888	24.1866
71.3806	106	6452.07	28.0128	61.0587	346.85	0.00432291	18.6827	18.6019
72.2265	107	5666.3	34.0177	218.728	398.425	0.00596768	14.3071	14.2218
73.0724	108	5267.98	27.012	534.366	445.022	0.00510141	11.8983	11.8376
73.9183	109	5065.88	16.0039	1130.32	388.292	0.00314921	13.0878	13.0466
74.7642	110	4648.15	16.0039	1955.56	240.883	0.00343126	19.3627	19.2963
75.6101	111	3634.99	22.0074	3249.98	198.601	0.00601788	18.4138	18.303
76.456	112	2361.35	12.0022	4960.68	153.358	0.00505706	15.4759	15.3976
77.3019	113	1428.83	2.00012	6105.04	107.175	0.00139787	13.3504	13.3318
78.1478	114	877.703	2.00006	6960.21	107.175	0.00227356	8.2081	8.18944
78.9936	115	624.941	1.00002	7201.09	94.1351	0.00159762	6.64939	6.63876
79.8395	116	469.345	0	7503.32	74.0837	0	6.33534	6.33534
