# depth_nm	scan	16OCs2+	18OCs2+	SiCs+	WCs+	f18 = 18OCs2+/(16OCs2++18OCs2+)	O_over_W = (16OCs2++18OCs2+)/WCs+	16OCs2+_over_WCs+
0	0	48.0745	27.0368	332.435	37.0624	0.359957	2.02662	1.29712
0.63477	1	1096.13	6.00055	1408.03	2.00018	0.0054445	551.015	548.015
1.26954	2	1618.36	4.00024	1497.71	2.00012	0.00246569	811.132	809.132
1.90431	3	1165.48	3.00014	1328.66	1.00002	0.00256755	1168.47	1165.47
2.53908	4	807.878	1.00002	1319.2	0	0.0012363	0	0
3.17385	5	585.194	1.00002	1251.68	0	0.00170594	0	0
3.80862	6	438.927	0	1261.99	0	0	0	0
4.44339	7	339.755	1.00002	1314	0	0.0029347	0	0
5.07816	8	292.3	1.00002	1364.08	0	0.00340953	0	0
5.71293	9	267.086	2.00006	1365.13	0	0.00743281	0	0
6.3477	10	177.48	0	1282.82	0	0	0	0
6.98247	11	190.553	1.00002	1310.87	1.00002	0.00522057	191.55	190.55
7.61724	12	163.407	1.00002	1310.92	0	0.00608257	0	0
8.25201	13	151.349	0	1362.04	0	0	0	0
8.88679	14	148.335	0	1307.79	0	0	0	0
9.52156	15	137.287	0	1332.78	0	0	0	0
10.1563	16	116.206	0	1318.24	0	0	0	0
10.7911	17	129.255	0	1344.32	0	0	0	0
11.4259	18	95.138	1.00002	1320.31	0	0.0104019	0	0
12.0606	19	111.188	0	1422.43	0	0	0	0
12.6954	20	93.1351	1.00002	1282.78	0	0.0106232	0	0
13.3302	21	124.235	1.00002	1348.45	0	0.0079851	0	0
13.9649	22	119.22	0	1336.99	0	0	0	0
14.5997	23	114.199	0	1337.95	0	0	0	0
15.2345	24	112.192	0	1321.28	0	0	0	0
15.8693	25	114.199	0	1331.78	0	0	0	0
16.504	26	107.175	0	1324.49	0	0	0	0
17.1388	27	134.275	0	1378.73	0	0	0	0
17.7736	28	104.165	0	1358.04	1.00005	0	104.161	104.161
18.4083	29	112.192	0	1317.2	0	0	0	0
19.0431	30	100.153	0	1298.51	0	0	0	0
19.6779	31	118.213	0	1307.95	0	0	0	0
20.3127	32	100.153	0	1349.58	0	0	0	0
20.9474	33	116.206	0	1298.47	0	0	0	0
21.5822	34	100.153	1.00002	1280.78	1.00002	0.00988617	101.151	100.151
22.217	35	83.1053	0	1339.11	0	0	0	0
22.8517	36	104.165	1.00005	1274.55	0	0.00950926	0	0
23.4865	37	112.192	1.00002	1269.43	0	0.00883469	0	0
24.1213	38	126.243	0	1295.31	0	0	0	0
24.756	39	118.213	1.00002	1330.82	0	0.00838848	0	0
25.3908	40	128.255	0	1463.38	0	0	0	0
26.0256	41	156.373	0	1874.97	0	0	0	0
26.6604	42	382.232	1.00002	2392.69	4.00024	0.00260942	95.8022	95.5522
27.2951	43	1192.55	2.00012	3021.59	8.00098	0.00167438	149.3	149.05
27.9299	44	3478.03	16.0039	3042.21	18.0049	0.00458036	194.059	193.171
28.5647	45	8012.51	38.0232	2424.99	76.0883	0.00472307	105.805	105.305
29.1994	46	13541.4	55.0479	1469.83	92.1294	0.00404871	147.58	146.982
29.8342	47	17013.4	111.188	740.781	131.263	0.0064929	130.461	129.614
30.6005	48	16703	81.1051	440.197	154.368	0.00483224	108.728	108.203
31.4133	49	13798.1	88.1184	277.22	202.625	0.00634575	68.5315	68.0966
32.2261	50	10643.2	55.0479	131.279	227.797	0.00514549	46.9641	46.7224
33.0388	51	8226.78	63.0626	65.0705	306.428	0.00760721	27.0531	26.8473
33.8516	52	6860.09	53.0429	43.0296	283.22	0.00767278	24.409	24.2217
34.6644	53	6342.24	43.0282	20.0071	375.151	0.00673868	17.0205	16.9058
35.4772	54	6303.88	37.022	20.0061	321.573	0.0058386	19.7184	19.6033
36.29	55	6364.11	52.0413	13.0026	338.755	0.00811099	18.9404	18.7867
37.1027	56	6361.03	42.0295	12.0022	331.673	0.00656397	19.3053	19.1786
37.9155	57	6318.32	42.0294	5.00038	326.622	0.00660804	19.4731	19.3444
38.7283	58	6370.4	61.0587	11.0022	381.209	0.00949376	16.8712	16.711
39.5411	59	6151.95	83.1053	12.0022	345.829	0.0133287	18.0293	17.789
40.3539	60	6188.82	139.296	6.00055	376.174	0.0220122	16.8223	16.452
41.1667	61	5670.55	263.053	4.00024	360.981	0.0443328	16.4374	15.7087
41.9794	62	5520.16	447.063	2.00006	392.351	0.0749197	15.2089	14.0694
42.7922	63	5441.74	734.163	6.00055	407.549	0.118876	15.1538	13.3524
43.605	64	5275.86	976.555	8.00098	389.303	0.156188	16.0605	13.552
44.4178	65	4953.17	1148.98	3.00014	349.861	0.188291	17.4416	14.1575
45.2306	66	5081.74	1322.37	4.00024	385.28	0.206487	16.622	13.1897
46.0433	67	4858.31	1445.55	3.00023	417.663	0.229312	15.0932	11.6321
46.8561	68	4751.98	1436.1	4.00024	404.511	0.232075	15.2977	11.7475
47.6689	69	4618.26	1511.65	3.00023	379.209	0.246603	16.165	12.1787
48.4817	70	4595.68	1560.72	1.00002	414.612	0.253512	14.8486	11.0843
49.2945	71	4564.15	1534.51	1.00002	402.486	0.251615	15.1525	11.3399
50.1072	72	4760.08	1545.09	1.00002	408.536	0.245052	15.4336	11.6515
50.92	73	4514.46	1462.42	5.00038	383.244	0.244679	15.5955	11.7796
51.7328	74	4520.95	1524.27	1.00002	421.702	0.252145	14.3353	10.7207
52.5456	75	4586.32	1508.56	3.00014	410.561	0.247512	14.8452	11.1709
53.3584	76	4555.61	1548.24	0	398.425	0.253649	15.32	11.4341
54.1712	77	4496.25	1475.06	1.00002	413.612	0.247025	14.437	10.8707
54.9839	78	4559.97	1401.73	1.00002	407.524	0.235122	14.6291	11.1895
55.7967	79	4718.92	1368.43	2.00006	445.008	0.224798	13.6792	10.6041
56.6095	80	4804.53	1262.11	1.00002	383.232	0.208041	15.8302	12.5369
57.4223	81	4877.56	1079.86	1.00002	374.128	0.181263	15.9235	13.0372
58.2351	82	5087.58	862.272	7.00075	417.663	0.144923	14.2456	12.1811
59.0478	83	5370.24	666.799	0	415.638	0.110451	14.5248	12.9205
59.8606	84	5400.69	453.118	1.00002	423.728	0.0774058	13.815	12.7456
60.6734	85	5706.45	320.583	4.00024	414.625	0.0531908	14.5361	13.7629
61.4862	86	5694.54	235.854	0	415.638	0.0397704	14.2682	13.7007
62.299	87	5965.71	135.279	2.00006	397.4	0.0221733	15.3523	15.0119
63.1117	88	5774.82	111.188	1.00002	429.833	0.0188903	13.6937	13.435
63.9245	89	5886.96	90.1266	1.00002	436.9	0.0150787	13.6807	13.4744
64.7373	90	5816.81	49.0367	3.00014	460.231	0.00835969	12.7454	12.6389
65.5501	91	5692.35	54.0462	0	401.474	0.00940524	14.3132	14.1786
66.3629	92	5872	39.0244	2.00006	434.873	0.00660197	13.5925	13.5028
67.1757	93	5837.81	40.0267	0	408.549	0.00680977	14.3871	14.2891
67.9884	94	5833.49	36.0209	2.00006	423.754	0.00613695	13.8512	13.7662
68.8012	95	5847.3	54.0445	1.00008	465.302	0.009158	12.6828	12.5667
69.614	96	5841.52	34.0177	2.00006	431.846	0.00578971	13.6056	13.5269
70.4268	97	6047.42	20.0061	12.0022	395.376	0.0032973	15.346	15.2954
71.2396	98	5816.42	36.0208	40.0269	448.063	0.00615484	13.0616	12.9813
72.0523	99	5379.06	24.0102	110.185	505.901	0.00444381	10.6801	10.6326
72.8651	100	5266.29	31.0147	331.683	610.655	0.0058548	8.67479	8.624
73.6779	101	5068.89	25.0103	756.856	564.84	0.00490986	9.01829	8.97401
74.4907	102	4325.59	22.0074	1510.61	499.792	0.00506196	8.69881	8.65478
75.3035	103	3701.99	23.0081	2513.18	424.741	0.00617666	8.77006	8.71589
76.1162	104	2856.28	8.00098	3418.68	355.926	0.00279336	8.04741	8.02493
76.929	105	2165.11	18.0049	4459.84	265.077	0.00824738	8.23575	8.16783
77.7418	106	1587.86	12.0022	5470.9	224.769	0.00750203	7.11779	7.06439
78.5546	107	1044.54	6.00055	5960.11	150.344	0.00571189	6.98753	6.94762
79.3674	108	732.141	5.00038	6403	139.296	0.00678348	5.29192	5.25602
80.1802	109	530.267	1.00002	6566.15	76.0902	0.00188232	6.98207	6.96893
80.9929	110	432.846	4.00024	6609.46	96.1409	0.00915709	4.54382	4.50221
81.8057	111	294.318	2.00006	6526.06	65.0646	0.00674971	4.55421	4.52347
82.6185	112	266.077	3.00014	6404.86	62.0587	0.0111497	4.33585	4.28751
83.4313	113	205.644	2.00006	6124.69	43.0282	0.00963216	4.82576	4.77928
84.2441	114	190.559	2.00006	6020.96	51.0397	0.0103868	3.77273	3.73354
85.0568	115	169.437	1.00002	5709.31	28.012	0.00586735	6.08445	6.04875
85.8696	116	128.251	0	5597.13	26.0103	0	4.93076	4.93076
86.6824	117	130.259	2.00006	5328.77	30.0137	0.0151223	4.4066	4.33996
87.4952	118	108.178	2.00006	5153.91	29.0128	0.0181529	3.79757	3.72864
88.308	119	96.1438	0	4970.39	31.0147	0	3.09995	3.09995
89.1208	120	85.1104	1.00002	4773.49	13.0026	0.0116132	6.62257	6.54566
89.9335	121	91.1266	1.00002	4586.02	16.0039	0.0108548	5.75651	5.69402
90.7463	122	85.1104	1.00002	4444.08	16.0039	0.0116132	5.38059	5.3181
91.5591	123	81.1003	1.00002	4370.12	14.003	0.0121804	5.86305	5.79164
92.3719	124	60.055	0	4150.61	11.0018	0	5.45863	5.45863
93.1847	125	56.0496	1.00002	3959.68	6.00055	0.0175289	9.5074	9.34075
93.9974	126	72.0792	0	3970.72	16.0039	0	4.50385	4.50385
94.8102	127	62.0587	0	3901.05	8.00098	0	7.75639	7.75639
95.623	128	53.0429	0	3768.47	15.0034	0	3.53538	3.53538
96.4358	129	40.0244	0	3676.84	8.00098	0	5.00244	5.00244
97.2486	130	70.0749	1.00002	3590.87	9.00124	0.0140699	7.89613	7.78503
98.0613	131	58.0514	2.00006	3520.43	8.00113	0.0333058	7.50537	7.2554
