# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	950.317	4.00049	33.0333	9.00302	0.00419199	106	105.555
0.588936	1	2521.77	7.0015	139.61	1.00009	0.00276874	2528.54	2521.54
1.17787	2	3234.92	4.00049	868.005	0	0.00123513	0	0
1.76681	3	2848.98	6.0011	1910	0	0.00210198	0	0
2.35574	4	2031.93	1.00003	2692.15	0	0.000491916	0	0
2.94468	5	1483.38	4.00049	3026.48	0	0.00268962	0	0
3.53361	6	1146.53	6.0011	3163.03	0	0.00520686	0	0
4.12255	7	819.499	3.00046	3248.8	0	0.00364798	0	0
4.71148	8	683.34	3.00027	3350.48	0	0.00437141	0	0
5.30042	9	507.883	4.00049	3305.74	0	0.00781524	0	0
5.88936	10	481.171	1.00003	3293.7	0	0.00207402	0	0
6.47829	11	422.477	2.00012	3303.59	0	0.00471197	0	0
7.06723	12	341.598	1.00003	3382.56	0	0.00291896	0	0
7.65616	13	315.106	2.00012	3357.01	0	0.00630742	0	0
8.2451	14	272.283	1.00003	3328.36	0	0.00365932	0	0
8.83403	15	251.973	0	3316.49	0	0	0	0
9.42297	16	226.587	0	3342.15	0	0	0	0
10.0119	17	231.644	1.00003	3390.33	1.00003	0.00429855	232.637	231.637
10.6008	18	226.573	1.00003	3243.31	0	0.00439432	0	0
11.1898	19	217.436	0	3275.55	0	0	0	0
11.7787	20	184.064	1.00003	3289.59	0	0.00540371	0	0
12.3676	21	212.37	0	3177.19	0	0	0	0
12.9566	22	212.397	0	3270.22	2.00012	0	106.192	106.192
13.5455	23	192.134	0	3390.87	0	0	0	0
14.1345	24	161.796	1.00003	3224.96	0	0.00614283	0	0
14.7234	25	200.231	0	3255.76	1.00003	0	200.225	200.225
15.3123	26	191.122	0	3255.99	1.00003	0	191.116	191.116
15.9013	27	182.018	0	3356.46	1.00003	0	182.013	182.013
16.4902	28	204.293	0	3360.7	0	0	0	0
17.0791	29	170.92	0	3344.87	0	0	0	0
17.6681	30	173.92	0	3310.63	1.00003	0	173.915	173.915
18.257	31	172.93	0	3344.16	1.00003	0	172.925	172.925
