# depth_nm	scan	16OCs2+	18OCs2+	SiCs+	WCs+	f18 = 18OCs2+/(16OCs2++18OCs2+)	O_over_W = (16OCs2++18OCs2+)/WCs+	16OCs2+_over_WCs+
0	0	34.0445	27.036	399.602	40.0714	0.442629	1.52429	0.849595
0.583185	1	1023.86	2.00006	1456.25	3.00014	0.00194964	341.938	341.271
1.16637	2	1617.26	4.00037	1674.2	0	0.00246744	0	0
1.74956	3	1313	3.00014	1468.46	0	0.00227974	0	0
2.33274	4	964.043	3.00014	1352.58	0	0.00310238	0	0
2.91593	5	691.24	1.00002	1268.31	0	0.00144461	0	0
3.49911	6	510.977	2.00006	1359.87	2.00006	0.00389893	256.481	255.481
4.0823	7	429.807	1.00002	1315.08	0	0.00232126	0	0
4.66548	8	343.797	0	1364.04	1.00002	0	343.792	343.792
5.24867	9	290.282	0	1380.73	0	0	0	0
5.83185	10	260.029	1.00002	1369.3	1.00002	0.00383105	261.025	260.025
6.41504	11	217.722	3.00014	1419.39	2.00006	0.0135924	110.358	108.858
6.99823	12	193.571	0	1371.34	0	0	0	0
7.58141	13	183.513	0	1383.86	1.00002	0	183.51	183.51
8.1646	14	158.382	2.00006	1396.46	0	0.0124706	0	0
8.74778	15	162.402	0	1366.13	0	0	0	0
9.33097	16	156.373	1.00002	1404.81	0	0.00635445	0	0
9.91415	17	137.287	0	1489.34	0	0	0	0
10.4973	18	127.247	1.00002	1344.28	1.00002	0.00779759	128.245	127.245
11.0805	19	134.275	0	1486.25	1.00002	0	134.273	134.273
11.6637	20	118.213	0	1456.98	0	0	0	0
12.2469	21	128.251	0	1426.7	2.00006	0	64.1234	64.1234
12.8301	22	114.199	0	1437.23	0	0	0	0
13.4133	23	109.182	0	1468.42	0	0	0	0
13.9965	24	116.206	0	1333.82	1.00002	0	116.204	116.204
14.5796	25	118.213	1.00002	1481.06	0	0.00838848	0	0
15.1628	26	114.199	0	1376.6	1.00002	0	114.197	114.197
15.746	27	98.1468	0	1441.28	0	0	0	0
16.3292	28	144.317	0	1433.06	1.00005	0	144.311	144.311
16.9124	29	129.255	0	1375.51	0	0	0	0
17.4956	30	105.169	0	1375.74	0	0	0	0
18.0787	31	126.247	0	1402.68	0	0	0	0
18.6619	32	133.271	0	1443.42	0	0	0	0
19.2451	33	125.239	0	1423.65	0	0	0	0
19.8283	34	122.228	1.00002	1425.61	0	0.00811518	0	0
20.4115	35	128.255	0	1389.07	0	0	0	0
20.9947	36	122.228	2.00006	1437.24	0	0.0161	0	0
21.5779	37	112.192	0	1385.9	0	0	0	0
22.161	38	138.291	0	1373.55	0	0	0	0
22.7442	39	114.199	1.00002	1408.95	0	0.00868078	0	0
23.3274	40	105.169	1.00002	1418.25	0	0.00941912	0	0
23.9106	41	119.22	0	1455.96	0	0	0	0
24.4938	42	117.209	1.00002	1460.23	0	0.00845969	0	0
25.077	43	191.559	0	1772.34	0	0	0	0
25.6602	44	287.255	2.00006	2214.29	2.00006	0.00691451	144.623	143.623
26.2433	45	667.758	6.00055	2780.99	9.00151	0.00890608	74.8495	74.1829
26.8265	46	1423.56	6.00055	3382.55	13.0026	0.00419746	109.945	109.483
27.4097	47	3073.06	18.0049	3511.75	25.0103	0.00582484	123.591	122.872
27.9929	48	5833.98	40.0269	3309.1	63.0606	0.00681423	93.1486	92.5139
28.5761	49	9587.22	50.0397	2501.1	93.1322	0.00519232	103.479	102.942
29.1593	50	12845.9	96.1431	1531.32	91.1266	0.00742873	142.023	140.968
29.7425	51	15559.8	96.1489	850.853	121.224	0.00614138	129.149	128.356
30.4804	52	16246.7	113.195	491.958	133.271	0.00691909	122.757	121.907
31.3406	53	14722.8	91.1309	316.733	144.317	0.00615168	102.649	102.017
32.2009	54	12814.7	81.103	194.682	146.331	0.00628911	88.1277	87.5734
33.0612	55	10727	76.0911	108.225	204.65	0.00704349	52.7879	52.4161
33.9214	56	9065.78	66.0666	76.0929	217.722	0.00723474	41.9428	41.6393
34.7817	57	7940.17	69.0747	50.0454	222.762	0.00862436	35.9542	35.6442
35.642	58	7146.8	57.0531	34.0177	269.11	0.0079198	26.7692	26.5572
36.5022	59	6709.11	50.0382	25.0103	252.974	0.00740303	26.7188	26.521
37.3625	60	6344.6	50.0397	17.0049	257.005	0.00782526	24.8814	24.6867
38.2228	61	6217.39	59.0532	18.006	285.247	0.0094087	22.0036	21.7965
39.0831	62	6190.63	86.1183	8.00122	297.372	0.0137202	21.1074	20.8178
39.9433	63	6037.39	121.228	14.003	245.92	0.0196842	25.0431	24.5502
40.8036	64	5917.13	212.702	10.0015	280.195	0.0346994	21.8771	21.1179
41.6639	65	5794.93	350.904	18.0049	309.466	0.0570963	19.8595	18.7256
42.5241	66	5721.31	491.685	14.003	258.013	0.0791382	24.0802	22.1745
43.3844	67	5541.66	734.255	14.003	293.309	0.116996	21.397	18.8936
44.2447	68	5436.9	803.803	11.0018	294.318	0.1288	21.204	18.4729
45.1049	69	5373.42	956.894	10.0018	276.169	0.151161	22.9219	19.457
45.9652	70	5099.62	1053.83	9.00124	272.169	0.171258	22.6089	18.737
46.8255	71	5103.96	1045.5	7.00075	257.021	0.170015	23.9259	19.8581
47.6858	72	5177.02	1080.76	11.0025	290.282	0.172706	21.5576	17.8345
48.546	73	5126.33	1051.89	10.0018	271.127	0.170258	22.7872	18.9075
49.4063	74	5104.62	1052.93	7.00075	273.135	0.170998	22.5439	18.689
50.2666	75	5175.85	1072.46	11.0022	249.974	0.17164	24.9958	20.7056
51.1268	76	5095.75	1021.78	7.00075	296.336	0.167024	20.6439	17.1959
51.9871	77	5188.4	1158.34	11.002	296.336	0.182509	21.4174	17.5085
52.8474	78	5068.55	1072.42	7.00075	289.273	0.174634	21.229	17.5217
53.7076	79	5163.82	1091.03	9.00124	271.119	0.174429	23.0705	19.0464
54.5679	80	5272.38	1065.19	6.00073	294.318	0.168076	21.5331	17.9139
55.4282	81	5071.06	1040.37	6.00092	284.238	0.170234	21.5011	17.8409
56.2884	82	5185.4	993.984	4.00049	262.053	0.160855	23.5807	19.7876
57.1487	83	5412.15	893.17	4.00037	285.238	0.141653	22.1055	18.9742
58.009	84	5479.21	650.413	2.00006	292.313	0.10611	20.9694	18.7443
58.8693	85	5711.26	470.389	1.00002	287.255	0.0760944	21.5197	19.8822
59.7295	86	5785.44	331.673	6.00055	281.203	0.0542205	21.7534	20.5739
60.5898	87	5948.51	228.806	7.00075	294.318	0.0370397	20.9886	20.2112
61.4501	88	5926.92	162.407	2.00012	271.127	0.0266707	22.4593	21.8603
62.3103	89	5867.44	95.1439	6.00055	309.457	0.0159568	19.2679	18.9605
63.1706	90	6052.64	88.1184	1.00002	278.186	0.0143497	22.0743	21.7575
64.0309	91	5967.91	71.077	4.00037	284.238	0.0117697	21.2462	20.9962
64.8911	92	6071.31	66.0666	4.00024	279.186	0.0107646	21.9831	21.7465
65.7514	93	6042.61	75.0906	4.00024	302.391	0.0122743	20.2311	19.9828
66.6117	94	6021.17	54.0445	5.00053	277.169	0.00889591	21.9188	21.7238
67.472	95	5816.39	64.0645	4.00024	284.238	0.0108945	20.6885	20.4631
68.3322	96	6059.66	67.0727	0	297.354	0.0109475	20.6042	20.3786
69.1925	97	6043.65	74.0837	1.00008	269.11	0.0121097	22.7332	22.4579
70.0528	98	6448.5	57.0496	5.00038	311.514	0.00876938	20.8837	20.7005
70.913	99	6515.48	61.0568	21.0067	292.309	0.00928404	22.4986	22.2897
71.7733	100	6498.64	75.086	75.0906	321.583	0.0114221	20.4418	20.2083
72.6336	101	5779.02	63.0606	275.169	394.364	0.0107942	14.8139	14.654
73.4938	102	5255.54	59.0532	646.412	437.927	0.0111115	12.1358	12.001
74.3541	103	4859.39	58.0514	1298.62	357.948	0.0118052	13.7379	13.5757
75.2144	104	4341.86	40.0244	2578.95	247.936	0.00913408	17.6735	17.512
76.0746	105	3017.18	31.0147	4488.07	191.559	0.0101748	15.9126	15.7507
76.9349	106	1824.88	17.0044	5984.99	156.373	0.00923205	11.7789	11.6701
77.7952	107	1121.99	8.00122	7065.25	127.247	0.00708077	8.88033	8.81745
78.6555	108	743.369	7.00075	7329.23	94.1351	0.00932974	7.9712	7.89683
79.5157	109	519.09	11.0018	7655.45	92.1294	0.0207546	5.75377	5.63436
80.376	110	439.954	2.00006	7539.35	64.0626	0.0045255	6.89878	6.86756
81.2363	111	342.787	1.00002	7504.6	38.0232	0.00290882	9.0415	9.0152
82.0965	112	297.345	4.00024	7057.94	43.0282	0.0132746	7.00343	6.91046
82.9568	113	312.485	3.00014	6819.02	27.0111	0.00950959	11.6798	11.5688
83.8171	114	288.264	4.00024	6566.13	39.0232	0.0136871	7.4895	7.38699
84.6773	115	189.547	4.00024	6323.05	29.0128	0.020668	6.67109	6.53322
85.5376	116	216.715	1.00002	6067.88	29.0128	0.00459323	7.50409	7.46963
86.3979	117	173.458	2.00006	5888.79	30.0137	0.0113991	5.84593	5.7793
87.2582	118	189.547	1.00002	5667.91	23.0081	0.00524812	8.28175	8.23829
88.1184	119	138.291	2.00006	5446.95	21.0067	0.0142565	6.67841	6.58319
88.9787	120	144.322	2.00006	5274.03	18.0049	0.0136689	8.12676	8.01567
89.839	121	129.255	1.00002	5031.88	22.0074	0.00767739	5.91868	5.87324
90.6992	122	116.206	1.00002	4765.76	19.0055	0.00853213	6.16694	6.11432
91.5595	123	92.1314	2.00006	4714.65	10.0015	0.0212475	9.41171	9.21174
92.4198	124	90.1238	3.00014	4578.42	14.003	0.0322166	6.65029	6.43604
93.28	125	115.206	1.00002	4481.75	10.0015	0.00860555	11.6188	11.5188
94.1403	126	77.0906	2.00006	4270.84	19.0055	0.0252882	4.16146	4.05622
95.0006	127	86.1131	0	4085.48	8.00098	0	10.7628	10.7628
95.8608	128	75.086	2.00006	4230.97	11.0018	0.0259458	7.00664	6.82485
96.7211	129	65.0646	2.00006	3990.92	8.00098	0.0298229	8.38205	8.13208
97.5814	130	92.1322	3.00014	3876.65	5.00038	0.0315365	19.025	18.425
98.4417	131	76.0883	4.00024	3732.48	6.00055	0.0499478	13.3469	12.6802
99.3019	132	64.0645	2.00006	3648.17	11.0018	0.0302743	6.00486	5.82307
