# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	1085.5	1.00003	34.0374	1.00009	0.000920416	1086.4	1085.4
0.646828	1	2301.57	5.00076	146.699	0	0.00216805	0	0
1.29366	2	2896.7	5.00076	970.47	0	0.00172339	0	0
1.94048	3	2241.66	2.00012	1901.72	0	0.000891455	0	0
2.58731	4	1594.94	3.00027	2558.71	0	0.00187759	0	0
3.23414	5	1106.24	2.00012	2681.43	0	0.00180478	0	0
3.88097	6	793.375	1.00003	2848.45	0	0.00125889	0	0
4.5278	7	570.9	1.00003	2877.86	0	0.00174861	0	0
5.17462	8	470.872	4.00049	2833.58	0	0.00842434	0	0
5.82145	9	387.548	1.00003	2853.48	0	0.00257377	0	0
6.46828	10	317.126	0	2903.81	0	0	0	0
7.11511	11	266.166	0	2927.16	0	0	0	0
7.76194	12	209.396	0	2935.53	0	0	0	0
8.40877	13	195.206	0	2936.77	0	0	0	0
9.05559	14	163.816	1.00003	2966.65	0	0.00606755	0	0
9.70242	15	154.766	0	2840.67	0	0	0	0
10.3492	16	140.61	0	3004.15	0	0	0	0
10.9961	17	139.602	0	2925.34	0	0	0	0
11.6429	18	120.449	0	2925.79	0	0	0	0
12.2897	19	112.385	0	2880.71	0	0	0	0
12.9366	20	95.2882	0	2853.41	0	0	0	0
13.5834	21	113.391	1.00003	2861.62	0	0.00874217	0	0
14.2302	22	109.378	1.00003	2955.67	0	0.00906008	0	0
14.877	23	105.338	1.00003	2964.56	0	0.00940427	0	0
15.5239	24	96.2882	0	2869.29	0	0	0	0
16.1707	25	86.2265	0	2817.49	0	0	0	0
16.8175	26	85.2213	1.00003	2754.15	0	0.0115984	0	0
17.4644	27	97.3002	0	2873.74	0	0	0	0
18.1112	28	104.338	0	2722.37	0	0	0	0
18.758	29	103.325	0	2848.69	0	0	0	0
19.4048	30	116.413	0	2911.21	0	0	0	0
20.0517	31	107.357	0	2857.27	0	0	0	0
20.6985	32	102.325	1.00003	2882.56	0	0.00967848	0	0
21.3453	33	116.427	0	2984.54	1.00003	0	116.423	116.423
21.9922	34	97.2942	0	2821.92	0	0	0	0
22.639	35	99.3064	0	2889.27	0	0	0	0
23.2858	36	115.413	0	2944.32	0	0	0	0
23.9326	37	124.472	0	2802.06	0	0	0	0
24.5795	38	93.2707	0	2852.79	0	0	0	0
25.2263	39	125.487	0	2617.03	0	0	0	0
25.8731	40	207.331	0	2319.38	5.00107	0	41.4574	41.4574
26.52	41	413.217	1.00003	1889.52	3.00027	0.00241427	138.06	137.726
27.1668	42	962.982	4.00049	1409.49	41.0514	0.00413708	23.5554	23.458
27.8136	43	1824.38	5.00076	879.724	116.427	0.00273358	15.7127	15.6698
28.4604	44	3101.33	12.0044	690.902	360.056	0.0038558	8.6468	8.61346
29.1073	45	4720.73	15.0078	490.354	960.976	0.00316905	4.92804	4.91243
29.7541	46	6745.2	18.0099	340.556	2307.61	0.00266292	2.93083	2.92303
30.617	47	8068	26.0207	219.463	4312.07	0.0032148	1.87706	1.87103
31.6124	48	8770.57	38.0441	85.2213	6445.09	0.00431897	1.36672	1.36081
32.6078	49	8705.36	34.0353	53.0892	8668.72	0.00389447	1.00815	1.00423
33.6031	50	8274.35	34.0353	47.0675	9975.35	0.00409651	0.832891	0.82948
34.5985	51	7349.36	25.0191	25.0191	10108.3	0.0033927	0.729536	0.727061
35.5939	52	6556.14	23.0162	15.0078	9860.78	0.00349834	0.667205	0.664871
