# depth_nm	scan	16OCs2+	18OCs2+	SiCs+	WCs+	f18 = 18OCs2+/(16OCs2++18OCs2+)	O_over_W = (16OCs2++18OCs2+)/WCs+	16OCs2+_over_WCs+
0	0	33.051	27.0313	216.226	24.0359	0.449905	2.49969	1.37507
0.777147	1	1272.43	4.00024	1658.36	0	0.00313394	0	0
1.55429	2	1391.19	3.00014	1498.81	2.00006	0.00215188	697.076	695.576
2.33144	3	883.84	1.00002	1313.13	0	0.00113017	0	0
3.10859	4	602.505	6.00055	1250.6	0	0.00986112	0	0
3.88574	5	415.625	1.00002	1244.41	0	0.00240028	0	0
4.66288	6	335.734	2.00006	1292.15	0	0.00592199	0	0
5.44003	7	282.212	0	1320.28	0	0	0	0
6.21718	8	223.762	2.00006	1404.73	0	0.00885914	0	0
6.99433	9	185.524	0	1333.82	0	0	0	0
7.77147	10	175.469	2.00006	1358.83	0	0.0112699	0	0
8.54862	11	154.363	2.00006	1323.41	0	0.0127911	0	0
9.32577	12	141.304	0	1301.55	0	0	0	0
10.1029	13	145.322	0	1347.41	0	0	0	0
10.8801	14	136.283	0	1274.58	0	0	0	0
11.6572	15	131.263	0	1324.45	0	0	0	0
12.4344	16	113.195	1.00005	1350.58	0	0.00875733	0	0
13.2115	17	125.239	1.00002	1383.94	0	0.0079216	0	0
13.9887	18	128.251	0	1339.07	0	0	0	0
14.7658	19	131.263	0	1315.2	0	0	0	0
15.5429	20	134.275	0	1338.11	0	0	0	0
16.3201	21	112.192	0	1309.92	0	0	0	0
17.0972	22	130.259	0	1385.94	0	0	0	0
17.8744	23	148.34	0	1358.83	1.00002	0	148.338	148.338
18.6515	24	133.271	0	1349.58	0	0	0	0
19.4287	25	134.279	0	1280.86	0	0	0	0
20.2058	26	125.239	0	1358.12	0	0	0	0
20.983	27	154.363	1.00002	1306.71	0	0.00643664	0	0
21.7601	28	135.283	0	1353.75	0	0	0	0
22.5373	29	123.231	0	1309.12	0	0	0	0
23.3144	30	158.387	0	1339.11	0	0	0	0
24.0916	31	160.392	1.00002	1293.39	0	0.00619619	0	0
24.8687	32	152.354	0	1365.08	0	0	0	0
25.6459	33	205.65	0	1681.56	0	0	0	0
26.423	34	484.58	3.00014	2090.74	2.00006	0.00615311	243.783	242.283
27.2002	35	1647.85	8.00122	2304.58	5.00038	0.0048321	331.144	329.544
27.9773	36	5456.3	17.0051	2306.96	24.0088	0.00310691	227.971	227.263
28.7545	37	12824.3	57.0496	1582.3	49.0367	0.00442887	262.687	261.524
29.5316	38	18380.1	98.1468	883.969	97.1439	0.00531149	190.215	189.204
30.3242	39	17423.1	76.0906	514.232	234.847	0.00434824	74.5131	74.1891
31.1401	40	11330.4	63.0626	314.611	330.683	0.00553497	34.4544	34.2637
31.9561	41	7701.85	48.0364	137.3	508.932	0.00619834	15.2277	15.1334
32.7721	42	6592.04	41.027	47.0337	577.14	0.00618522	11.493	11.4219
33.5881	43	6612.41	47.0366	26.0103	577.105	0.00706315	11.5394	11.4579
34.4041	44	6518.33	40.0257	17.0044	532.382	0.006103	12.3189	12.2437
35.22	45	6346.3	42.0269	12.0022	556.788	0.00657871	11.4735	11.3981
36.036	46	6360.21	43.0282	5.00038	680.049	0.00671977	9.41584	9.35257
36.852	47	6051.45	46.0323	4.00024	612.692	0.00754939	9.95195	9.87682
37.668	48	5836.54	54.0462	1.00002	662.737	0.00917501	8.88828	8.80673
38.4839	49	5788.15	74.0837	3.00014	700.498	0.0126375	8.36866	8.2629
39.2999	50	5656.22	114.202	3.00014	745.415	0.019791	7.74122	7.58802
40.1159	51	5324.24	208.676	6.00055	735.254	0.0377153	7.52518	7.24136
40.9319	52	4895.97	396.4	6.00073	742.437	0.0749004	7.12837	6.59445
41.7478	53	4713.61	692.304	6.00055	772.071	0.128064	7.00184	6.10515
42.5638	54	4309.6	995.046	0	794.58	0.18758	6.67604	5.42375
43.3798	55	3764.49	1419.48	0	800.753	0.27382	6.47387	4.70119
44.1958	56	3589.9	1780.79	3.00023	812.003	0.331575	6.61413	4.42105
45.0117	57	3187.01	2210.15	0	766.999	0.409503	7.03671	4.15516
45.8277	58	2855.46	2375.48	5.00047	774.191	0.454121	6.75666	3.68832
46.6437	59	2790.76	2407.68	0	789.531	0.463154	6.58422	3.53471
47.4597	60	2681.41	2625.84	1.00002	843.797	0.494765	6.28972	3.17779
48.2756	61	2675.98	2431.29	3.00014	820.23	0.476045	6.22663	3.26247
49.0916	62	2689.92	2491.06	1.00002	799.728	0.480809	6.47843	3.36354
49.9076	63	2580.52	2599.93	1.00002	813.078	0.501873	6.37141	3.17377
50.7236	64	2682.41	2480.8	1.00002	835.589	0.480477	6.17912	3.2102
51.5395	65	2618.17	2498.43	2.00006	816.154	0.488299	6.26916	3.20794
52.3555	66	2616.25	2513.34	1.00002	784.385	0.489969	6.53963	3.33541
53.1715	67	2699.69	2476.96	1.00002	803.828	0.478487	6.44	3.35855
53.9875	68	2696.35	2440.14	2.00006	803.877	0.47506	6.38965	3.35418
54.8034	69	2806.57	2470.49	1.00002	791.605	0.468156	6.66628	3.54542
55.6194	70	2806.39	2268.19	1.00002	822.256	0.446971	6.17154	3.41304
56.4354	71	3071.96	2154.63	1.00002	807.903	0.412244	6.46933	3.80239
57.2514	72	3422.68	1893.98	0	842.745	0.356235	6.30874	4.06135
58.0673	73	3696.99	1515.7	0	839.719	0.290771	6.20767	4.40266
58.8833	74	4057.16	1224.79	3.00014	895.198	0.231882	5.90032	4.53214
59.6993	75	4390.56	778.191	2.00006	777.191	0.150557	6.65056	5.64927
60.5153	76	4621.11	492.701	1.00002	789.531	0.0963473	6.47702	5.85298
61.3312	77	4956.15	311.476	1.00002	886.895	0.0591302	5.9394	5.5882
62.1472	78	4920.91	182.513	1.00005	827.434	0.0357629	6.16776	5.94719
62.9632	79	5121.13	113.195	0	830.46	0.0216256	6.30292	6.16662
63.7792	80	5079.4	61.0568	1.00002	839.745	0.0118777	6.12145	6.04874
64.5952	81	5092.09	38.0221	2.00006	855.06	0.00741155	5.99971	5.95524
65.4111	82	5164.43	19.0061	0	865.326	0.00366669	5.99016	5.96819
66.2271	83	5244.85	20.0061	3.00023	862.352	0.00379994	6.10522	6.08202
67.0431	84	5075.22	15.0034	3.00014	844.849	0.0029475	6.02501	6.00725
67.8591	85	5198.26	19.0055	1.00002	864.352	0.00364281	6.03604	6.01406
68.675	86	5188.2	20.0061	0	842.745	0.00384127	6.18005	6.15631
69.491	87	5157.91	7.00075	2.00006	878.703	0.00135544	5.87788	5.86991
70.307	88	5053.21	10.0015	20.0061	937.365	0.00197533	5.40154	5.39087
71.123	89	4764.86	17.0049	44.0304	871.595	0.00355613	5.48634	5.46683
71.9389	90	4637.08	10.0015	112.195	941.423	0.00215222	4.93623	4.92561
72.7549	91	4262.16	10.0015	310.485	994.953	0.00234109	4.29383	4.28378
73.5709	92	3714.31	13.003	700.476	952.776	0.00348856	3.91206	3.89841
74.3869	93	3028.86	9.00148	1267.31	810.953	0.0029631	3.74604	3.73494
75.2028	94	2539.11	5.00038	2163.04	707.585	0.00196548	3.59548	3.58841
76.0188	95	2129.87	6.00055	3051.29	548.566	0.00280942	3.89355	3.88261
76.8348	96	1752.01	7.00075	3901.18	401.449	0.00397993	4.38166	4.36422
77.6508	97	1377.64	2.00006	4746.73	315.514	0.0014497	4.37267	4.36633
78.4667	98	1049.63	2.00006	5318.54	186.53	0.00190186	5.63788	5.62716
79.2827	99	702.498	1.00002	5689.12	155.368	0.00142149	4.52795	4.52152
80.0987	100	536.382	3.00014	6016.76	91.1266	0.00556217	5.91905	5.88612
80.9147	101	340.766	3.00014	6283.11	94.1351	0.00872727	3.65184	3.61997
81.7306	102	273.135	0	6254.34	51.0397	0	5.35142	5.35142
82.5466	103	221.749	0	6133.96	53.0429	0	4.18055	4.18055
83.3626	104	182.513	1.00002	5732.94	50.0382	0.00544929	3.66746	3.64747
84.1786	105	145.322	0	5518.26	36.0198	0	4.0345	4.0345
84.9945	106	130.259	0	5379.13	35.0187	0	3.71969	3.71969
85.8105	107	122.228	2.00006	5227.72	27.0111	0.0161	4.59913	4.52509
86.6265	108	110.185	3.00014	4830.71	22.0074	0.0265064	5.14305	5.00673
87.4425	109	101.156	2.00012	4791.84	21.0067	0.0193893	4.91062	4.81541
88.2584	110	98.1468	2.00006	4487.78	20.0061	0.0199713	5.00582	4.90584
89.0744	111	89.1211	0	4414.73	11.0018	0	8.10056	8.10056
89.8904	112	80.0978	0	4145.39	17.0044	0	4.71041	4.71041
90.7064	113	70.0749	1.00002	4118.49	11.0018	0.0140699	6.46027	6.36937
91.5223	114	74.0837	0	3897.17	12.0022	0	6.17251	6.17251
92.3383	115	75.086	2.00006	3858.19	11.0018	0.0259458	7.00664	6.82485
93.1543	116	58.0514	0	3712.46	6.00055	0	9.67435	9.67435
93.9703	117	76.0883	1.00002	3527.57	11.0018	0.0129723	7.00685	6.91595
94.7863	118	60.055	3.00014	3495.38	10.0015	0.0475796	6.30455	6.00458
95.6022	119	69.0727	1.00002	3320.79	5.00038	0.0142711	14.0135	13.8135
96.4182	120	68.0707	3.00014	3304.55	6.00055	0.0422134	11.844	11.3441
97.2342	121	59.0532	1.00002	3157.05	8.00098	0.0166522	7.50573	7.38075
98.0502	122	48.0352	1.00002	3149.24	2.00006	0.0203938	24.5169	24.0169
