# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	951.503	4.00049	25.0191	2.00012	0.00418679	477.722	475.722
0.534197	1	1824.5	1.00003	111.391	0	0.000547812	0	0
1.06839	2	2597.69	7.0015	550.441	0	0.00268803	0	0
1.60259	3	2371.15	5.00076	1335.13	0	0.00210456	0	0
2.13679	4	1902.39	6.0011	1900.99	0	0.00314459	0	0
2.67098	5	1370	4.00049	2280.35	0	0.00291157	0	0
3.20518	6	1023.75	3.00027	2533.11	0	0.0029221	0	0
3.73938	7	794.426	1.00003	2625.75	0	0.00125723	0	0
4.27357	8	623.033	1.00003	2614.67	0	0.00160253	0	0
4.80777	9	497.693	0	2679.34	0	0	0	0
5.34197	10	391.716	1.00003	2661.88	0	0.00254644	0	0
5.87616	11	315.028	0	2651.28	0	0	0	0
6.41036	12	285.49	1.00003	2663.48	0	0.00349063	0	0
6.94456	13	238.819	0	2721.09	0	0	0	0
7.47875	14	197.194	0	2788.57	0	0	0	0
8.01295	15	189.11	0	2649.23	0	0	0	0
8.54715	16	181.018	0	2758.34	0	0	0	0
9.08134	17	136.584	0	2678.21	0	0	0	0
9.61554	18	138.584	1.00003	2788.93	0	0.00716434	0	0
10.1497	19	117.427	0	2678.21	0	0	0	0
10.6839	20	121.46	1.00003	2710.81	0	0.00816618	0	0
11.2181	21	110.371	0	2727.64	0	0	0	0
11.7523	22	109.371	0	2751.22	0	0	0	0
12.2865	23	102.331	0	2676.32	0	0	0	0
12.8207	24	91.2648	1.00003	2622.57	0	0.0108387	0	0
13.3549	25	93.2764	0	2656.75	0	0	0	0
13.8891	26	87.2371	0	2776.57	0	0	0	0
14.4233	27	93.2708	0	2673.46	0	0	0	0
14.9575	28	94.2765	0	2666.59	0	0	0	0
15.4917	29	94.2765	0	2744.22	0	0	0	0
16.0259	30	89.2426	0	2775.01	0	0	0	0
16.5601	31	74.1676	0	2647.98	0	0	0	0
17.0943	32	98.3063	0	2611.02	0	0	0	0
17.6285	33	104.351	0	2707.54	0	0	0	0
18.1627	34	92.2649	0	2635.28	0	0	0	0
18.6969	35	77.1815	0	2671.37	0	0	0	0
19.2311	36	76.1815	0	2688.81	0	0	0	0
19.7653	37	89.2426	1.00003	2653.77	0	0.0110816	0	0
20.2995	38	89.2535	2.00012	2695.14	0	0.0219183	0	0
20.8337	39	85.2213	1.00003	2733.98	0	0.0115984	0	0
21.3679	40	87.2425	0	2677.63	0	0	0	0
21.9021	41	82.2109	0	2711.35	0	0	0	0
22.4363	42	76.1768	0	2720	0	0	0	0
22.9705	43	93.2649	1.00003	2697.19	0	0.0106087	0	0
23.5047	44	99.3064	0	2736.8	0	0	0	0
24.0389	45	70.1543	0	2612.11	0	0	0	0
24.573	46	87.2318	1.00003	2685.58	1.00003	0.0113341	88.2291	87.2291
25.1072	47	122.479	0	2478.93	0	0	0	0
25.6414	48	178.996	0	2412.88	1.00003	0	178.99	178.99
26.1756	49	309.97	1.00003	1973.98	8.00195	0.00321584	38.8618	38.7368
26.7098	50	544.065	0	1531.96	9.00247	0	60.435	60.435
27.244	51	1044.87	3.00027	1131.95	41.0539	0.00286322	25.5242	25.4511
27.7782	52	1756.05	5.00076	868.059	105.344	0.00283964	16.7171	16.6696
28.3124	53	2687.51	6.0011	659.286	322.221	0.00222798	8.35919	8.34057
28.8466	54	3774.63	8.00195	502.756	648.085	0.00211544	5.83664	5.82429
29.3808	55	5214.14	18.0099	386.691	1411.78	0.00344216	3.70608	3.69332
29.915	56	6571.6	24.0176	270.233	2618.31	0.00364145	2.51904	2.50986
30.6854	57	7660.05	25.0221	151.719	4188.57	0.00325594	1.83477	1.8288
31.5005	58	8056.39	22.0148	88.2372	5988.34	0.00272514	1.34902	1.34535
32.3156	59	7955.76	28.024	63.1214	7604.31	0.00351011	1.0499	1.04622
33.1307	60	7700.34	27.0223	37.0418	8757.59	0.00349696	0.882361	0.879276
33.9458	61	7373.55	29.0257	28.024	9491.66	0.00392103	0.779903	0.776845
34.7609	62	6568.06	26.0207	18.0099	9585.58	0.00394606	0.687916	0.685202
35.576	63	5912.56	31.0313	11.0037	9041.03	0.00522096	0.657402	0.65397
36.391	64	5297.2	15.0069	5.00076	8544.36	0.00282498	0.621721	0.619964
37.2061	65	4845.42	17.0088	7.0015	8001.06	0.00349801	0.607724	0.605598
38.0212	66	4341.48	30.0275	5.00076	7370.02	0.00686892	0.593147	0.589072
38.8363	67	4014.85	24.0176	5.00076	7088.71	0.00594662	0.56976	0.566372
39.6514	68	3773.34	25.0206	3.00027	6613.8	0.00658722	0.574308	0.570525
40.4665	69	3638.7	21.0135	4.00049	6462.11	0.00574184	0.566334	0.563082
41.2816	70	3521.7	40.0489	2.00012	6178.61	0.0112442	0.576465	0.569983
