# depth_nm	scan	16OCs2+	18OCs2+	SiCs+	WCs+	f18 = 18OCs2+/(16OCs2++18OCs2+)	O_over_W = (16OCs2++18OCs2+)/WCs+	16OCs2+_over_WCs+
0	0	17.0197	14.0098	168.906	20.0104	0.4515	1.55067	0.850543
0.538649	1	785.336	2.00012	1444.71	0	0.00254037	0	0
1.0773	2	1484.15	4.00024	1669.89	1.00002	0.00268806	1488.13	1484.13
1.61595	3	1314	3.00014	1392.2	0	0.00227801	0	0
2.1546	4	954.776	2.00006	1302.67	1.00005	0.00209042	956.732	954.732
2.69324	5	745.415	5.00038	1259.91	0	0.00666349	0	0
3.23189	6	604.561	3.00023	1291.15	2.00012	0.00493815	303.762	302.262
3.77054	7	460.217	0	1286.98	1.00005	0	460.196	460.196
4.30919	8	351.883	0	1272.39	2.00012	0	175.931	175.931
4.84784	9	317.543	0	1302.59	1.00005	0	317.529	317.529
5.38649	10	263.053	0	1284.86	1.00002	0	263.049	263.049
5.92514	11	268.094	2.00006	1290.1	1.00002	0.00740506	270.09	268.09
6.46379	12	262.045	0	1340.03	1.00005	0	262.033	262.033
7.00244	13	200.613	1.00002	1270.43	0	0.00496008	0	0
7.54108	14	176.474	0	1342.11	0	0	0	0
8.07973	15	208.663	0	1288.14	0	0	0	0
8.61838	16	174.464	0	1309.87	0	0	0	0
9.15703	17	141.304	0	1352.58	0	0	0	0
9.69568	18	152.354	0	1326.53	0	0	0	0
10.2343	19	148.34	0	1279.74	0	0	0	0
10.773	20	166.427	0	1303.67	0	0	0	0
11.3116	21	155.368	0	1341.16	0	0	0	0
11.8503	22	155.368	1.00002	1302.59	0	0.00639528	0	0
12.3889	23	146.326	1.00002	1300.51	0	0.00678776	0	0
12.9276	24	143.317	0	1362.08	0	0	0	0
13.4662	25	138.291	0	1327.61	0	0	0	0
14.0049	26	128.251	0	1354.62	0	0	0	0
14.5435	27	150.344	0	1333.86	0	0	0	0
15.0822	28	132.267	0	1362.96	0	0	0	0
15.6208	29	123.235	1.00002	1268.23	0	0.00804937	0	0
16.1595	30	131.263	1.00002	1372.38	1.00002	0.00756083	132.261	131.261
16.6981	31	142.309	0	1319.24	0	0	0	0
17.2368	32	155.368	0	1328.57	0	0	0	0
17.7754	33	120.22	1.00002	1307.79	0	0.00824957	0	0
18.3141	34	155.368	1.00002	1351.49	0	0.00639528	0	0
18.8527	35	166.422	0	1371.43	0	0	0	0
19.3914	36	158.382	1.00002	1322.41	0	0.00627432	0	0
19.93	37	140.3	0	1281.82	0	0	0	0
20.4687	38	136.283	0	1275.62	0	0	0	0
21.0073	39	155.368	1.00002	1282.9	0	0.00639528	0	0
21.546	40	132.267	1.00002	1304.67	0	0.00750387	0	0
22.0846	41	161.402	0	1262.15	0	0	0	0
22.6233	42	137.287	0	1318.16	0	0	0	0
23.1619	43	131.263	1.00002	1332.74	0	0.00756083	0	0
23.7005	44	135.279	0	1402.73	0	0	0	0
24.2392	45	176.474	1.00002	1447.6	0	0.0056347	0	0
24.7778	46	200.613	0	1584.01	1.00002	0	200.61	200.61
25.3165	47	363.003	1.00002	1982.03	1.00002	0.00274727	363.998	362.998
25.8551	48	640.214	7.00075	2433.37	5.00038	0.0108167	129.433	128.033
26.3938	49	1182.21	2.00012	3008.87	15.0034	0.00168899	78.9295	78.7962
26.9324	50	2278.62	3.00014	3349.69	25.0095	0.00131491	91.2301	91.1101
27.4711	51	3748.82	14.003	3357.54	53.0429	0.00372141	70.9392	70.6752
28.0097	52	5980.11	27.0111	2950.82	58.0514	0.00449651	103.479	103.014
28.5484	53	8513.74	24.0088	2178.19	88.1184	0.00281208	96.8895	96.6171
29.087	54	11154	46.0333	1505.46	83.1053	0.00411011	134.769	134.215
29.6257	55	13207.8	48.0365	921.42	121.224	0.00362379	109.35	108.954
30.2568	56	14164.5	53.0508	534.744	133.275	0.00373137	106.678	106.28
31.0985	57	14221	52.0451	345.978	135.279	0.0036464	105.508	105.123
31.9402	58	13161.4	46.0365	252.098	149.34	0.00348564	88.4391	88.1309
32.782	59	12067.8	56.0519	150.372	159.387	0.00462326	76.0657	75.7141
33.6237	60	10497.1	52.0429	77.1118	151.349	0.00493339	69.7006	69.3567
34.4654	61	9205.21	47.0337	64.0645	192.571	0.0050835	48.046	47.8017
35.3071	62	7868.75	41.0269	32.0156	197.595	0.00518686	40.0303	39.8227
36.1489	63	7221.04	31.0147	15.0044	234.84	0.00427667	30.8809	30.7488
36.9906	64	6662.17	44.0296	17.0044	231.832	0.0065655	28.927	28.737
37.8323	65	6161.51	43.0282	12.0022	211.682	0.00693496	29.3106	29.1073
38.674	66	5832.76	49.0367	3.00023	238.869	0.00833702	24.6236	24.4183
39.5157	67	5736.66	87.1157	4.00034	244.92	0.0149586	23.7782	23.4225
40.3575	68	5731.7	144.322	3.00023	244.913	0.0245611	23.9923	23.403
41.1992	69	5593.94	218.728	1.00002	235.847	0.0376296	24.646	23.7186
42.0409	70	5595.69	301.382	2.00006	223.762	0.051107	26.3542	25.0073
42.8826	71	5448.75	430.833	3.00014	225.776	0.0732762	26.0416	24.1334
43.7244	72	5220.37	488.685	5.00038	231.825	0.0855982	24.6266	22.5186
44.5661	73	5127.83	550.617	2.00006	264.061	0.0969662	21.5043	19.4191
45.4078	74	5083.57	643.273	0	235.861	0.112326	24.2806	21.5532
46.2495	75	5201.3	671.882	1.00002	241.891	0.114398	24.2803	21.5027
47.0912	76	5034.88	699.455	2.00006	229.811	0.121977	24.9524	21.9088
47.933	77	5191.23	715.761	1.00002	217.722	0.121172	27.1309	23.8434
48.7747	78	5144.21	728.095	0	240.883	0.123988	24.3782	21.3556
