# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	732.299	2.00012	22.0148	7.00192	0.00272385	104.871	104.585
0.781992	1	2489.37	9.00247	251.989	0	0.00360333	0	0
1.56398	2	2600.59	5.00076	1264.53	0	0.00191924	0	0
2.34597	3	1880.02	4.00049	2156.15	0	0.00212338	0	0
3.12797	4	1211.49	1.00003	2599.76	0	0.000824773	0	0
3.90996	5	758.645	4.00049	2742.65	0	0.00524554	0	0
4.69195	6	541.03	0	2765.93	0	0	0	0
5.47394	7	409.14	0	2827.26	0	0	0	0
6.25593	8	361.014	2.00012	2792.31	0	0.00550977	0	0
7.03792	9	227.643	0	2841.86	0	0	0	0
7.81992	10	188.087	0	2895.05	0	0	0	0
8.60191	11	194.17	2.00012	2911.96	0	0.0101959	0	0
9.3839	12	151.719	0	2844.63	0	0	0	0
10.1659	13	148.691	0	2836.34	0	0	0	0
10.9479	14	134.559	0	2863.95	0	0	0	0
11.7299	15	138.61	0	2897.61	0	0	0	0
12.5119	16	122.456	0	2814.03	0	0	0	0
13.2939	17	102.331	0	2823.09	0	0	0	0
14.0758	18	104.338	1.00003	2926.14	0	0.00949355	0	0
14.8578	19	111.378	1.00003	2900.61	0	0.00889883	0	0
15.6398	20	104.338	0	2837.14	0	0	0	0
16.4218	21	107.357	0	2829.13	0	0	0	0
17.2038	22	105.338	2.00012	2844.16	0	0.0186339	0	0
17.9858	23	99.3064	0	2887.07	0	0	0	0
18.7678	24	101.313	0	2927.14	0	0	0	0
19.5498	25	119.449	1.00003	2872.98	0	0.00830253	0	0
20.3318	26	98.2943	0	2839.59	0	0	0	0
21.1138	27	114.405	1.00003	2864.56	0	0.00866536	0	0
21.8958	28	98.3003	0	2910.61	0	0	0	0
22.6778	29	105.357	0	2868.01	0	0	0	0
23.4597	30	100.313	0	2759.18	0	0	0	0
24.2417	31	112.398	0	2850.07	1.00003	0	112.395	112.395
25.0237	32	121.449	0	2745.76	0	0	0	0
25.8057	33	138.584	0	2713.09	2.00012	0	69.288	69.288
26.5877	34	212.397	1.00003	2363.99	3.00046	0.00468625	71.1213	70.788
27.3697	35	520.267	1.00003	1711.45	14.0068	0.00191846	37.2152	37.1438
28.1517	36	1615.98	5.00076	1534.24	34.0416	0.00308502	47.6178	47.4708
28.9337	37	4400.25	19.011	1446.17	175.979	0.00430186	25.1124	25.0044
29.7157	38	8616.43	39.0465	975.839	947.222	0.00451119	9.13775	9.09653
30.5058	39	11927.3	57.1029	476.05	3306.63	0.00476475	3.62436	3.60709
31.3006	40	11928	61.1138	197.194	6773.5	0.00509746	1.77	1.76098
32.0954	41	9602.63	54.0925	78.191	8240.4	0.00560154	1.17187	1.16531
32.8902	42	6615.32	40.0514	29.0257	7288.87	0.0060179	0.913087	0.907592
