# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	491.388	4.00049	22.0161	9.00302	0.00807546	55.0247	54.5803
0.64092	1	2100.93	3.00027	170.92	0	0.00142603	0	0
1.28184	2	2584.91	5.00076	906.311	0	0.00193086	0	0
1.92276	3	2055.15	4.00073	1762.44	0	0.00194291	0	0
2.56368	4	1497.44	3.00027	2222.42	1.00003	0.00199959	1500.4	1497.4
3.2046	5	1186.8	2.00012	2476.25	0	0.00168247	0	0
3.84552	6	908.312	1.00003	2499.1	0	0.00109977	0	0
4.48644	7	777.775	2.00012	2649.93	0	0.002565	0	0
5.12736	8	622.8	1.00003	2679.17	0	0.00160313	0	0
5.76828	9	540.93	0	2668.66	0	0	0	0
6.4092	10	446.154	1.00003	2677.28	0	0.00223643	0	0
7.05012	11	429.741	0	2694.07	0	0	0	0
7.69104	12	419.398	0	2767.53	0	0	0	0
8.33197	13	412.319	0	2779.62	0	0	0	0
8.97289	14	350.792	1.00003	2760.89	0	0.00284267	0	0
9.61381	15	367.172	4.00049	2629.81	0	0.010778	0	0
10.2547	16	347.727	1.00003	2819.66	0	0.00286766	0	0
10.8956	17	347.813	0	2769.24	0	0	0	0
11.5366	18	307.951	0	2743.84	0	0	0	0
12.1775	19	311.028	0	2690.64	0	0	0	0
12.8184	20	366.104	0	2708.38	0	0	0	0
13.4593	21	320.166	0	2692.69	0	0	0	0
14.1002	22	350.814	0	2780.7	0	0	0	0
14.7412	23	319.107	2.00012	2593.68	0	0.00622884	0	0
15.3821	24	339.577	0	2693.55	0	0	0	0
16.023	25	317.106	0	2745.03	0	0	0	0
16.6639	26	335.472	0	2787.37	0	0	0	0
17.3049	27	280.42	0	2715.46	0	0	0	0
17.9458	28	333.451	0	2695.06	1.00003	0	333.441	333.441
18.5867	29	297.688	0	2700.09	0	0	0	0
19.2276	30	297.761	1.00003	2592.34	0	0.00334725	0	0
19.8685	31	294.742	2.00012	2691.72	0	0.00674026	0	0
20.5095	32	292.651	0	2610.99	0	0	0	0
21.1504	33	297.688	0	2721.63	0	0	0	0
21.7913	34	280.403	2.00012	2607.26	0	0.00708251	0	0
22.4322	35	307.894	1.00003	2657.65	0	0.00323746	0	0
23.0731	36	306.931	1.00003	2737.11	1.00003	0.00324758	307.922	306.922
23.7141	37	299.743	1.00003	2765.45	0	0.0033252	0	0
24.355	38	314.028	1.00003	2626.05	0	0.00317441	0	0
24.9959	39	318.126	1.00003	2748.66	1.00003	0.00313365	319.117	318.117
25.6368	40	326.307	0	2531.59	2.00012	0	163.143	163.143
26.2777	41	328.388	2.00012	2310.67	3.00027	0.00605385	110.119	109.453
26.9187	42	397.888	1.00003	1715.21	7.0015	0.00250704	56.9719	56.8291
27.5596	43	703.258	2.00012	1195.41	22.0148	0.00283602	32.0356	31.9448
28.2005	44	1808.19	6.0011	1069.61	38.0441	0.00330786	47.6866	47.5288
28.8414	45	3825.17	11.0037	874.234	236.785	0.0028684	16.2011	16.1546
29.4823	46	6834.28	23.0162	616.568	1047.6	0.00335645	6.54572	6.52375
30.1541	47	9293.23	35.0374	357.902	3190.83	0.00375605	2.92346	2.91248
30.9556	48	9879.66	55.0925	165.836	6179.77	0.00554543	1.60762	1.59871
31.757	49	9403.38	68.1415	94.2707	8646.44	0.00719436	1.09542	1.08754
32.5585	50	8128.73	51.0795	41.0514	9437.07	0.00624459	0.866774	0.861362
33.3599	51	6617.06	36.0396	26.0207	8934.68	0.00541696	0.744638	0.740605
34.1614	52	5397.36	39.0489	24.0176	7757.86	0.00718285	0.700761	0.695728
34.9628	53	4486.89	22.0148	18.0099	6873.48	0.00488252	0.655985	0.652782
35.7642	54	3957.85	24.0191	22.0148	6384.47	0.00603211	0.623681	0.619919
36.5657	55	3955.57	28.024	9.00302	5750.93	0.00703484	0.692686	0.687813
37.3671	56	3870.39	15.0069	8.00195	5800.99	0.00386238	0.669782	0.667195
38.1686	57	3807.68	24.0191	5.00076	5563.12	0.00626851	0.688769	0.684451
38.97	58	3927.53	30.0275	5.00076	5646.01	0.00758738	0.700948	0.69563
39.7715	59	4016.76	39.0465	11.0037	5429.21	0.00962731	0.747035	0.739843
40.5729	60	4000.9	40.0538	6.0011	5551.5	0.00991198	0.727903	0.720688
41.3744	61	3873.97	59.1173	3.00027	5383.49	0.0150308	0.730582	0.719601
42.1758	62	3850.17	120.442	6.0011	5265.96	0.0303332	0.754016	0.731144
42.9773	63	3705.11	228.601	7.0015	5196.86	0.0581133	0.75694	0.712952
43.7787	64	3620.95	349.706	2.00012	5087.33	0.0880724	0.780499	0.711759
44.5801	65	3524.33	561.862	4.00049	4968.88	0.137503	0.822356	0.70928
45.3816	66	3511.16	671.871	7.0015	4794.2	0.160618	0.872519	0.732376
46.183	67	3511.17	782.778	3.00027	4609.32	0.182298	0.93158	0.761755
46.9845	68	3308.82	843.705	0	4565.19	0.203179	0.909606	0.724794
47.7859	69	3245.9	902.684	4.00049	4432.9	0.217588	0.935863	0.73223
48.5874	70	3183.76	968.348	0	4524.35	0.233218	0.917724	0.703694
49.3888	71	3075.76	902.194	3.00027	4348.91	0.226799	0.914701	0.707248
50.1903	72	3178.41	915.428	2.00012	4431.52	0.223611	0.9238	0.717228
50.9917	73	3066.68	940.074	4.00049	4312.26	0.234622	0.929155	0.711154
51.7931	74	3071.9	1011.98	0	4361.35	0.247799	0.936378	0.704345
52.5946	75	3123.93	962.163	5.00076	4181.02	0.235473	0.977294	0.747167
53.396	76	3123.12	934.366	0	4231.61	0.230282	0.95885	0.738044
