# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
92.3778	133	38.0441	2.00012	1341.04	3.00027	0.0499478	13.3469	12.6802
93.1923	134	38.0441	1.00003	1305.75	5.00076	0.0256128	7.80764	7.60767
94.0068	135	25.0191	1.00003	1259.13	9.00296	0.0384344	2.89006	2.77898
94.8213	136	40.0489	0	1416.04	1.00003	0	40.0477	40.0477
95.6358	137	40.0489	0	1370.48	4.00049	0	10.011	10.011
96.4503	138	33.0353	1.00003	1400.59	2.00012	0.0293821	17.0166	16.5166
97.2648	139	25.0191	0	1368.91	3.00027	0	8.33893	8.33893
98.0793	140	31.0294	0	1513.51	5.00076	0	6.20493	6.20493
98.8939	141	27.0223	0	1477	4.00049	0	6.75474	6.75474
99.7084	142	34.0353	0	1429.69	2.00012	0	17.0166	17.0166
100.523	143	30.0312	0	1538.06	0	0	0	0
101.337	144	28.0257	0	1490.34	1.00003	0	28.0248	28.0248
