# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	543.997	2.00012	16.0078	12.0055	0.00366324	45.479	45.3124
0.775682	1	2633.63	3.00027	249.942	1.00015	0.00113792	2636.23	2633.23
1.55136	2	2921.36	8.00244	1338.64	0	0.0027318	0	0
2.32705	3	1946.16	10.0031	2173.34	0	0.00511361	0	0
3.10273	4	1297.75	4.00049	2621.11	0	0.00307316	0	0
3.87841	5	934.542	1.00003	2824.35	0	0.00106893	0	0
4.65409	6	639.551	2.00012	2931.15	0	0.00311763	0	0
5.42977	7	464.725	1.00003	2941.13	0	0.00214726	0	0
6.20546	8	351.814	4.00049	3116.28	0	0.0112432	0	0
6.98114	9	289.579	2.00012	2977.78	0	0.00685962	0	0
7.75682	10	226.601	0	2959.38	0	0	0	0
8.5325	11	196.182	0	3017.44	0	0	0	0
9.30818	12	188.122	1.00003	2913.97	1.00003	0.00528777	189.116	188.116
10.0839	13	155.738	0	2782.44	0	0	0	0
10.8595	14	145.645	0	2946.74	0	0	0	0
11.6352	15	124.487	0	2940.5	0	0	0	0
12.4109	16	113.398	0	2959.13	0	0	0	0
13.1866	17	122.464	1.00003	3006.8	0	0.00809977	0	0
13.9623	18	119.442	0	2999.02	0	0	0	0
14.738	19	101.319	0	3020.85	1.00003	0	101.316	101.316
15.5136	20	108.364	0	2972.94	0	0	0	0
16.2893	21	125.479	0	2961.54	2.00012	0	62.7358	62.7358
17.065	22	102.319	0	2928.12	0	0	0	0
17.8407	23	103.331	0	3043.67	1.00003	0	103.328	103.328
18.6164	24	107.357	0	2915.37	0	0	0	0
19.392	25	126.487	1.00003	3021.46	1.00003	0.00784417	127.483	126.483
20.1677	26	111.385	0	2917.79	2.00012	0	55.6889	55.6889
20.9434	27	117.427	0	2999.18	3.00027	0	39.1387	39.1387
21.7191	28	123.479	0	3054.17	0	0	0	0
22.4948	29	112.385	1.00003	3041.32	1.00003	0.00881981	113.381	112.381
23.2705	30	133.543	0	2923.95	1.00003	0	133.539	133.539
24.0461	31	124.479	1.00003	2949.7	0	0.00796969	0	0
24.8218	32	123.472	1.00003	2956.15	2.00012	0.00803421	62.232	61.732
25.5975	33	132.535	1.00003	2862.57	5.00076	0.00748892	26.7029	26.5029
26.3732	34	233.687	0	2616.34	8.00195	0	29.2037	29.2037
27.1489	35	406.064	1.00003	2059.82	9.00247	0.00245669	45.2169	45.1058
27.9246	36	1206.88	4.00049	1696.45	30.0293	0.0033038	40.3231	40.1899
