# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
0	0	757.374	0	35.0396	7.00192	0	108.167	108.167
0.592065	1	2601.7	5.00107	177.996	0	0.00191854	0	0
1.18413	2	3433.19	12.0044	854.136	0	0.00348439	0	0
1.77619	3	2919.98	1.00003	1931.01	0	0.000342361	0	0
2.36826	4	2179.2	4.00049	2597.35	1.00009	0.0018324	2183	2179
2.96032	5	1540.2	2.00012	3040.13	0	0.00129693	0	0
3.55239	6	1227.66	2.00012	3205.75	1.00003	0.00162656	1229.62	1227.62
4.14445	7	971.776	2.00012	3281.44	0	0.00205399	0	0
4.73652	8	794.177	2.00012	3245.85	0	0.00251216	0	0
5.32858	9	659.122	1.00003	3280.26	0	0.00151492	0	0
5.92065	10	485.292	3.00027	3334.46	0	0.00614443	0	0
6.51271	11	447.154	2.00012	3416.68	0	0.00445308	0	0
7.10477	12	426.53	1.00003	3283.89	0	0.00233909	0	0
7.69684	13	386.619	1.00003	3375.33	1.00003	0.00257993	387.607	386.607
8.2889	14	361.014	0	3378.49	1.00003	0	361.003	361.003
8.88097	15	348.792	0	3330.92	0	0	0	0
9.47303	16	341.619	0	3322.68	0	0	0	0
10.0651	17	296.706	0	3396.99	0	0	0	0
10.6572	18	285.508	0	3430.81	1.00003	0	285.499	285.499
11.2492	19	271.249	3.00027	3488.18	1.00003	0.0109399	274.241	271.241
11.8413	20	292.651	0	3255.3	0	0	0	0
12.4334	21	273.334	0	3364.97	0	0	0	0
13.0254	22	264.199	0	3391.64	1.00003	0	264.191	264.191
13.6175	23	288.597	1.00003	3416.88	0	0.00345318	0	0
14.2095	24	251.973	0	3377.71	1.00003	0	251.966	251.966
14.8016	25	246.881	0	3326.46	1.00003	0	246.873	246.873
15.3937	26	238.834	1.00003	3312.96	0	0.00416968	0	0
15.9857	27	234.716	1.00003	3335.41	3.00027	0.00424252	78.5648	78.2315
16.5778	28	261.101	0	3397.26	0	0	0	0
17.1699	29	250.912	0	3461.43	0	0	0	0
17.7619	30	231.63	0	3423.62	1.00003	0	231.623	231.623
18.354	31	217.45	0	3279.54	0	0	0	0
18.9461	32	242.79	0	3423.91	0	0	0	0
19.5381	33	235.716	0	3293.58	0	0	0	0
20.1302	34	232.687	0	3429.88	1.00003	0	232.68	232.68
20.7223	35	239.775	0	3376.26	1.00003	0	239.768	239.768
21.3143	36	260.085	0	3315.17	1.00003	0	260.077	260.077
21.9064	37	277.368	0	3328.24	0	0	0	0
22.4985	38	249.927	0	3354.85	1.00003	0	249.919	249.919
23.0905	39	285.473	0	3514.38	0	0	0	0
23.6826	40	263.117	0	3362.04	0	0	0	0
24.2746	41	222.531	0	3289.04	3.00027	0	74.1703	74.1703
24.8667	42	261.085	0	3247.68	0	0	0	0
25.4588	43	279.42	0	3032.3	0	0	0	0
26.0508	44	296.743	1.00003	2634.81	7.00192	0.0033587	42.523	42.3802
26.6429	45	455.295	0	2012.55	7.0015	0	65.0283	65.0283
27.235	46	810.087	2.00012	1498.35	27.0239	0.00246294	30.0507	29.9767
27.827	47	1624.71	11.0037	1047.2	71.1653	0.00672713	22.9848	22.8301
28.4191	48	2926.42	14.006	821.551	298.798	0.00476324	9.84085	9.79397
29.0112	49	4962.29	32.0313	672.955	767.221	0.00641354	6.50963	6.46788
29.6032	50	7318.92	46.0647	521.332	2011.03	0.00625455	3.6623	3.63939
30.2766	51	9086.73	66.1333	371.264	4278.89	0.00722542	2.13908	2.12362
31.1152	52	10431.5	66.1333	204.331	7136.96	0.00629982	1.47089	1.46162
31.9538	53	10345.3	69.1486	147.691	9515.8	0.00663967	1.09444	1.08717
32.7924	54	9707.85	58.1029	118.434	11666.9	0.00594954	0.837066	0.832086
33.6309	55	8706.49	66.1373	74.1722	11903.5	0.00753906	0.736977	0.731421
34.4695	56	7597.93	44.0619	61.1138	11705.7	0.00576576	0.652842	0.649078
35.3081	57	6951.98	57.1029	54.0892	10746.9	0.00814698	0.652193	0.64688
36.1467	58	6049.43	43.0565	53.0892	9894.38	0.00706715	0.615752	0.6114
36.9853	59	5373.3	50.0764	54.0892	9182.67	0.00923344	0.59061	0.585157
37.8239	60	4906.94	32.0313	30.0275	8541.49	0.00648541	0.578233	0.574483
38.6624	61	4628.43	44.0592	42.0539	8195.02	0.00942949	0.570162	0.564786
39.501	62	4482.49	37.0462	29.0257	7878.3	0.00819691	0.573669	0.568967
